seed,result,tides_completed,final_weave,max_weave,invaders_killed,natives_killed,heart_damage_events,peak_corruption,total_corruption_at_end,total_presence_at_end,sacrifices,total_fear_generated,export_string
42,Clean,6,20,20,23,0,0,0,0,8,0,33,"SEED:42|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_002:-|3:SelectTarget:-:A1|4:PlayBottom:root_005:-|5:SelectTarget:-:A1|6:PlayTop:root_008:-|7:PlayTop:root_023:-|8:SelectTarget:-:A1|9:PlayBottom:root_025:-|10:SelectTarget:-:A2|11:PlayTop:root_004:-|12:PlayTop:root_017:-|13:SelectTarget:-:A1|14:PlayBottom:root_006:-|15:SelectTarget:-:A1|16:Rest:-:A1|17:PlayTop:root_008:-|18:PlayTop:root_025:-|19:SelectTarget:-:I1|20:PlayBottom:root_003:-|21:PlayTop:root_023:-|22:SelectTarget:-:A1|23:PlayTop:root_001:-|24:SelectTarget:-:A1|25:PlayBottom:root_009:-|26:SelectTarget:-:A1|27:PlayTop:root_004:-|28:PlayTop:root_007:-|29:PlayBottom:root_006:-|30:SelectTarget:-:A2|31:PlayTop:root_005:-|32:PlayTop:root_017:-|33:SkipPhase:-:-|34:PlayTop:root_002:-|35:SkipPhase:-:-"
43,Clean,6,11,20,23,0,5,0,0,8,0,35,"SEED:43|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_005:-|3:PlayBottom:root_003:-|4:PlayTop:root_025:-|5:SelectTarget:-:A1|6:PlayTop:root_007:-|7:PlayBottom:root_002:-|8:SelectTarget:-:A3|9:PlayTop:root_008:-|10:PlayTop:root_004:-|11:PlayBottom:root_006:-|12:SelectTarget:-:A1|13:Rest:-:A1|14:PlayTop:root_023:-|15:SelectTarget:-:A1|16:PlayTop:root_017:-|17:SelectTarget:-:A1|18:PlayBottom:root_001:-|19:SelectTarget:-:A1|20:PlayTop:root_005:-|21:PlayTop:root_007:-|22:PlayBottom:root_009:-|23:SelectTarget:-:M1|24:PlayTop:root_025:-|25:SelectTarget:-:A1|26:PlayTop:root_003:-|27:PlayBottom:root_002:-|28:SelectTarget:-:A2|29:PlayTop:root_008:-|30:PlayTop:root_004:-|31:SkipPhase:-:-|32:PlayTop:root_006:-|33:SkipPhase:-:-"
44,Clean,6,20,20,23,0,0,8,0,9,0,41,"SEED:44|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_006:-|3:SelectTarget:-:A1|4:PlayBottom:root_023:-|5:SelectTarget:-:A1|6:PlayTop:root_008:-|7:PlayTop:root_004:-|8:PlayBottom:root_017:-|9:SelectTarget:-:A1|10:PlayTop:root_005:-|11:PlayTop:root_025:-|12:SelectTarget:-:A2|13:PlayBottom:root_001:-|14:SelectTarget:-:A2|15:Rest:-:A1|16:PlayTop:root_025:-|17:SelectTarget:-:M1|18:PlayTop:root_003:-|19:PlayBottom:root_002:-|20:SelectTarget:-:A2|21:PlayTop:root_023:-|22:SelectTarget:-:A1|23:PlayTop:root_008:-|24:PlayBottom:root_004:-|25:PlayTop:root_007:-|26:PlayTop:root_001:-|27:SelectTarget:-:A1|28:PlayBottom:root_009:-|29:SelectTarget:-:A1|30:PlayTop:root_005:-|31:PlayTop:root_008:-|32:SkipPhase:-:-|33:PlayTop:root_006:-|34:PlayTop:root_007:-|35:SkipPhase:-:-"
45,Clean,6,20,20,23,0,0,7,0,11,0,37,"SEED:45|0:PlayTop:root_002:-|1:SelectTarget:-:M1|2:PlayTop:root_023:-|3:SelectTarget:-:A1|4:PlayBottom:root_005:-|5:SelectTarget:-:A1|6:PlayTop:root_003:-|7:PlayTop:root_001:-|8:SelectTarget:-:A1|9:PlayBottom:root_006:-|10:SelectTarget:-:A3|11:PlayTop:root_004:-|12:PlayTop:root_008:-|13:PlayBottom:root_025:-|14:SelectTarget:-:A2|15:Rest:-:A1|16:PlayTop:root_004:-|17:PlayTop:root_007:-|18:PlayBottom:root_009:-|19:SelectTarget:-:A1|20:PlayTop:root_008:-|21:PlayTop:root_025:-|22:SelectTarget:-:A2|23:PlayBottom:root_006:-|24:SelectTarget:-:A2|25:PlayTop:root_023:-|26:SelectTarget:-:A1|27:PlayTop:root_005:-|28:PlayBottom:root_002:-|29:SelectTarget:-:M1|30:PlayTop:root_017:-|31:PlayTop:root_003:-|32:SkipPhase:-:-|33:PlayTop:root_001:-|34:SkipPhase:-:-"
46,Clean,6,18,20,23,0,2,0,0,9,0,37,"SEED:46|0:PlayTop:root_004:-|1:PlayTop:root_023:-|2:SelectTarget:-:A1|3:PlayBottom:root_025:-|4:SelectTarget:-:A1|5:PlayTop:root_006:-|6:SelectTarget:-:A1|7:PlayTop:root_008:-|8:PlayBottom:root_009:-|9:SelectTarget:-:A1|10:PlayTop:root_005:-|11:PlayTop:root_017:-|12:SelectTarget:-:A1|13:PlayBottom:root_003:-|14:Rest:-:A1|15:PlayTop:root_023:-|16:SelectTarget:-:A1|17:PlayTop:root_001:-|18:SelectTarget:-:A1|19:PlayBottom:root_002:-|20:SelectTarget:-:A2|21:PlayTop:root_004:-|22:PlayTop:root_008:-|23:PlayBottom:root_005:-|24:SelectTarget:-:M1|25:PlayTop:root_025:-|26:SelectTarget:-:A2|27:PlayTop:root_007:-|28:PlayBottom:root_009:-|29:SelectTarget:-:A1|30:PlayTop:root_017:-|31:PlayTop:root_006:-|32:SkipPhase:-:-|33:PlayTop:root_003:-|34:SkipPhase:-:-"
47,Clean,6,20,20,23,0,0,0,0,8,0,36,"SEED:47|0:PlayTop:root_006:-|1:SelectTarget:-:M1|2:PlayTop:root_004:-|3:PlayBottom:root_007:-|4:PlayTop:root_023:-|5:SelectTarget:-:A1|6:PlayTop:root_005:-|7:PlayBottom:root_009:-|8:SelectTarget:-:A2|9:PlayTop:root_008:-|10:PlayTop:root_017:-|11:SelectTarget:-:A1|12:PlayBottom:root_002:-|13:SelectTarget:-:M2|14:Rest:-:A1|15:PlayTop:root_005:-|16:PlayTop:root_025:-|17:SelectTarget:-:I1|18:PlayBottom:root_001:-|19:SelectTarget:-:A1|20:PlayTop:root_008:-|21:PlayTop:root_003:-|22:PlayBottom:root_009:-|23:SelectTarget:-:M1|24:PlayTop:root_004:-|25:PlayTop:root_007:-|26:PlayBottom:root_006:-|27:SelectTarget:-:A2|28:PlayTop:root_023:-|29:PlayTop:root_002:-|30:SkipPhase:-:-|31:PlayTop:root_017:-|32:PlayTop:root_017:-|33:SkipPhase:-:-"
48,Clean,6,18,20,23,0,1,8,0,10,0,35,"SEED:48|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_023:-|3:SelectTarget:-:A1|4:PlayBottom:root_025:-|5:SelectTarget:-:A1|6:PlayTop:root_004:-|7:PlayTop:root_008:-|8:PlayBottom:root_006:-|9:SelectTarget:-:A3|10:PlayTop:root_005:-|11:PlayTop:root_017:-|12:SelectTarget:-:A1|13:PlayBottom:root_003:-|14:Rest:-:A1|15:PlayTop:root_007:-|16:PlayTop:root_002:-|17:SelectTarget:-:A2|18:PlayBottom:root_001:-|19:SelectTarget:-:A3|20:PlayTop:root_023:-|21:SelectTarget:-:A1|22:PlayTop:root_008:-|23:PlayBottom:root_009:-|24:SelectTarget:-:M1|25:PlayTop:root_005:-|26:PlayTop:root_004:-|27:PlayBottom:root_006:-|28:SelectTarget:-:M1|29:PlayTop:root_025:-|30:PlayTop:root_003:-|31:SkipPhase:-:-|32:PlayTop:root_017:-|33:SkipPhase:-:-"
49,Clean,6,12,20,23,4,2,6,0,10,0,35,"SEED:49|0:PlayTop:root_004:-|1:PlayTop:root_003:-|2:PlayBottom:root_025:-|3:SelectTarget:-:A1|4:PlayTop:root_006:-|5:SelectTarget:-:A1|6:PlayTop:root_008:-|7:PlayBottom:root_009:-|8:SelectTarget:-:A2|9:PlayTop:root_005:-|10:PlayTop:root_023:-|11:SelectTarget:-:A1|12:PlayBottom:root_002:-|13:SelectTarget:-:A2|14:Rest:-:A1|15:PlayTop:root_005:-|16:PlayTop:root_025:-|17:SelectTarget:-:I1|18:PlayBottom:root_001:-|19:SelectTarget:-:A1|20:PlayTop:root_004:-|21:PlayTop:root_017:-|22:SelectTarget:-:A1|23:PlayBottom:root_007:-|24:PlayTop:root_003:-|25:PlayTop:root_006:-|26:SelectTarget:-:A3|27:PlayTop:root_008:-|28:PlayTop:root_023:-|29:SkipPhase:-:-|30:PlayTop:root_002:-|31:PlayTop:root_009:-|32:SkipPhase:-:-"
50,Clean,6,9,20,23,4,3,6,0,11,0,38,"SEED:50|0:PlayTop:root_006:-|1:SelectTarget:-:M1|2:PlayTop:root_008:-|3:PlayBottom:root_017:-|4:SelectTarget:-:A1|5:PlayTop:root_025:-|6:SelectTarget:-:A2|7:PlayTop:root_003:-|8:PlayBottom:root_009:-|9:SelectTarget:-:A1|10:PlayTop:root_005:-|11:PlayTop:root_004:-|12:PlayBottom:root_002:-|13:SelectTarget:-:M2|14:Rest:-:A1|15:PlayTop:root_023:-|16:SelectTarget:-:M1|17:PlayTop:root_007:-|18:PlayBottom:root_006:-|19:SelectTarget:-:A2|20:PlayTop:root_005:-|21:PlayTop:root_025:-|22:SelectTarget:-:A3|23:PlayBottom:root_001:-|24:SelectTarget:-:A1|25:PlayTop:root_008:-|26:PlayTop:root_003:-|27:PlayBottom:root_009:-|28:SelectTarget:-:A2|29:PlayTop:root_004:-|30:PlayTop:root_017:-|31:SkipPhase:-:-|32:PlayTop:root_002:-|33:SkipPhase:-:-"
51,Clean,6,20,20,23,0,1,0,0,8,0,39,"SEED:51|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_002:-|3:SelectTarget:-:A1|4:PlayBottom:root_005:-|5:SelectTarget:-:A1|6:PlayTop:root_023:-|7:SelectTarget:-:A1|8:PlayTop:root_004:-|9:PlayBottom:root_025:-|10:SelectTarget:-:A3|11:PlayTop:root_008:-|12:PlayTop:root_001:-|13:SelectTarget:-:A1|14:PlayBottom:root_006:-|15:SelectTarget:-:A1|16:Rest:-:A1|17:PlayTop:root_004:-|18:PlayTop:root_007:-|19:PlayBottom:root_009:-|20:SelectTarget:-:A1|21:PlayTop:root_005:-|22:PlayTop:root_023:-|23:SelectTarget:-:A1|24:PlayBottom:root_017:-|25:SelectTarget:-:A1|26:PlayTop:root_003:-|27:PlayTop:root_023:-|28:SelectTarget:-:A1|29:PlayBottom:root_008:-|30:PlayTop:root_025:-|31:PlayTop:root_006:-|32:SkipPhase:-:-|33:PlayTop:root_001:-|34:PlayTop:root_023:-|35:SkipPhase:-:-"
