seed,result,tides_completed,final_weave,max_weave,invaders_killed,natives_killed,heart_damage_events,peak_corruption,total_corruption_at_end,total_presence_at_end,sacrifices,total_fear_generated,export_string
1,Weathered,6,20,20,23,2,0,7,28,4,0,39,"SEED:1|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_006:-|3:SelectTarget:-:A1|4:PlayBottom:ember_001:-|5:SelectTarget:-:A1|6:Rest:-:-|7:PlayTop:ember_003:-|8:PlayTop:ember_008:-|9:SelectTarget:-:A2|10:PlayBottom:ember_004:-|11:Rest:-:-|12:PlayTop:ember_008:-|13:SelectTarget:-:A3|14:PlayTop:ember_007:-|15:PlayBottom:ember_002:-|16:SelectTarget:-:A2|17:Rest:-:-|18:PlayTop:ember_005:-|19:SelectTarget:-:A1|20:PlayTop:ember_008:-|21:Rest:-:-|22:PlayTop:ember_008:-|23:SelectTarget:-:A3|24:Rest:-:-|25:SkipPhase:-:-|26:SkipPhase:-:-"
2,Clean,6,20,20,23,0,0,6,24,5,0,27,"SEED:2|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_007:-|3:PlayBottom:ember_003:-|4:Rest:-:-|5:PlayTop:ember_002:-|6:SelectTarget:-:A1|7:PlayTop:ember_001:-|8:SelectTarget:-:A2|9:PlayBottom:ember_008:-|10:SelectTarget:-:A2|11:Rest:-:-|12:PlayTop:ember_001:-|13:SelectTarget:-:A3|14:PlayTop:ember_004:-|15:PlayBottom:ember_006:-|16:SelectTarget:-:M2|17:Rest:-:-|18:PlayTop:ember_001:-|19:SelectTarget:-:A2|20:PlayTop:ember_005:-|21:SelectTarget:-:A1|22:Rest:-:-|23:PlayTop:ember_001:-|24:SelectTarget:-:A3|25:Rest:-:-|26:SkipPhase:-:-|27:SkipPhase:-:-"
3,Clean,6,20,20,23,0,0,6,24,5,0,26,"SEED:3|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_003:-|3:PlayBottom:ember_001:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_002:-|7:SelectTarget:-:A1|8:PlayTop:ember_008:-|9:SelectTarget:-:A3|10:PlayBottom:ember_004:-|11:Rest:-:-|12:PlayTop:ember_008:-|13:SelectTarget:-:A3|14:PlayTop:ember_005:-|15:SelectTarget:-:A1|16:PlayBottom:ember_006:-|17:SelectTarget:-:A2|18:Rest:-:-|19:PlayTop:ember_008:-|20:SelectTarget:-:A3|21:PlayTop:ember_007:-|22:Rest:-:-|23:PlayTop:ember_007:-|24:Rest:-:-|25:SkipPhase:-:-|26:SkipPhase:-:-"
4,Weathered,6,20,20,22,0,0,5,17,4,0,16,"SEED:4|0:PlayTop:ember_004:-|1:PlayTop:ember_007:-|2:PlayBottom:ember_008:-|3:SelectTarget:-:A1|4:Rest:-:-|5:PlayTop:ember_006:-|6:SelectTarget:-:M1|7:PlayTop:ember_002:-|8:SelectTarget:-:A1|9:PlayBottom:ember_003:-|10:Rest:-:-|11:PlayTop:ember_001:-|12:SelectTarget:-:A3|13:PlayTop:ember_005:-|14:SelectTarget:-:A3|15:PlayBottom:ember_002:-|16:SelectTarget:-:M2|17:Rest:-:-|18:PlayTop:ember_007:-|19:PlayTop:ember_005:-|20:SelectTarget:-:I1|21:Rest:-:-|22:PlayTop:ember_005:-|23:SelectTarget:-:A1|24:Rest:-:-|25:SkipPhase:-:-|26:SkipPhase:-:-"
5,Clean,6,20,20,23,0,0,6,23,4,0,39,"SEED:5|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_006:-|3:SelectTarget:-:A1|4:PlayBottom:ember_003:-|5:Rest:-:-|6:PlayTop:ember_008:-|7:SelectTarget:-:A2|8:PlayTop:ember_001:-|9:SelectTarget:-:A3|10:PlayBottom:ember_004:-|11:Rest:-:-|12:PlayTop:ember_001:-|13:SelectTarget:-:A3|14:PlayTop:ember_007:-|15:PlayBottom:ember_002:-|16:SelectTarget:-:A2|17:Rest:-:-|18:PlayTop:ember_005:-|19:SelectTarget:-:A1|20:PlayTop:ember_001:-|21:Rest:-:-|22:PlayTop:ember_001:-|23:SelectTarget:-:A3|24:Rest:-:-|25:SkipPhase:-:-|26:SkipPhase:-:-"
6,Clean,6,20,20,23,0,0,7,26,5,0,28,"SEED:6|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_002:-|7:SelectTarget:-:A1|8:PlayTop:ember_003:-|9:PlayBottom:ember_001:-|10:SelectTarget:-:A3|11:Rest:-:-|12:PlayTop:ember_007:-|13:PlayTop:ember_005:-|14:SelectTarget:-:A1|15:PlayBottom:ember_003:-|16:Rest:-:-|17:PlayTop:ember_006:-|18:SelectTarget:-:A2|19:PlayTop:ember_007:-|20:Rest:-:-|21:PlayTop:ember_006:-|22:SelectTarget:-:M2|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
7,Weathered,6,20,20,22,0,0,6,20,3,0,30,"SEED:7|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_006:-|7:SelectTarget:-:A1|8:PlayTop:ember_001:-|9:SelectTarget:-:A3|10:PlayBottom:ember_003:-|11:Rest:-:-|12:PlayTop:ember_001:-|13:SelectTarget:-:A3|14:PlayTop:ember_004:-|15:PlayBottom:ember_007:-|16:Rest:-:-|17:PlayTop:ember_005:-|18:SelectTarget:-:A1|19:PlayTop:ember_001:-|20:Rest:-:-|21:PlayTop:ember_001:-|22:SelectTarget:-:A3|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
8,Weathered,6,20,20,23,0,0,6,23,5,0,29,"SEED:8|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_006:-|7:SelectTarget:-:A1|8:PlayTop:ember_003:-|9:PlayBottom:ember_001:-|10:SelectTarget:-:A2|11:Rest:-:-|12:PlayTop:ember_004:-|13:PlayTop:ember_007:-|14:PlayBottom:ember_006:-|15:SelectTarget:-:M2|16:Rest:-:-|17:PlayTop:ember_005:-|18:SelectTarget:-:A1|19:PlayTop:ember_007:-|20:Rest:-:-|21:PlayTop:ember_007:-|22:Rest:-:-|23:SkipPhase:-:-|24:SkipPhase:-:-"
9,Weathered,6,20,20,23,0,0,9,30,5,0,39,"SEED:9|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A2|5:Rest:-:-|6:PlayTop:ember_006:-|7:SelectTarget:-:A1|8:PlayTop:ember_001:-|9:SelectTarget:-:A3|10:PlayBottom:ember_003:-|11:Rest:-:-|12:PlayTop:ember_004:-|13:PlayTop:ember_007:-|14:PlayBottom:ember_005:-|15:SelectTarget:-:A3|16:Rest:-:-|17:PlayTop:ember_006:-|18:SelectTarget:-:A2|19:PlayTop:ember_007:-|20:Rest:-:-|21:PlayTop:ember_006:-|22:SelectTarget:-:M2|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
10,Clean,6,20,20,23,0,0,6,26,7,0,19,"SEED:10|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_002:-|7:SelectTarget:-:A1|8:PlayTop:ember_003:-|9:PlayBottom:ember_001:-|10:SelectTarget:-:A1|11:Rest:-:-|12:PlayTop:ember_005:-|13:SelectTarget:-:A1|14:PlayTop:ember_007:-|15:PlayBottom:ember_006:-|16:SelectTarget:-:A2|17:Rest:-:-|18:PlayTop:ember_002:-|19:SelectTarget:-:A3|20:PlayTop:ember_005:-|21:SelectTarget:-:M1|22:Rest:-:-|23:PlayTop:ember_002:-|24:SelectTarget:-:M2|25:Rest:-:-|26:SkipPhase:-:-|27:SkipPhase:-:-"
11,Weathered,6,20,20,23,0,0,6,23,5,0,40,"SEED:11|0:PlayTop:ember_004:-|1:PlayTop:ember_001:-|2:PlayBottom:ember_003:-|3:Rest:-:-|4:PlayTop:ember_002:-|5:SelectTarget:-:M1|6:PlayTop:ember_006:-|7:SelectTarget:-:A1|8:PlayBottom:ember_008:-|9:SelectTarget:-:A2|10:Rest:-:-|11:PlayTop:ember_004:-|12:PlayTop:ember_005:-|13:SelectTarget:-:A3|14:PlayBottom:ember_006:-|15:SelectTarget:-:M2|16:Rest:-:-|17:PlayTop:ember_004:-|18:PlayTop:ember_007:-|19:Rest:-:-|20:PlayTop:ember_007:-|21:Rest:-:-|22:SkipPhase:-:-|23:SkipPhase:-:-"
12,Clean,6,20,20,23,0,0,6,21,6,0,34,"SEED:12|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_008:-|3:PlayBottom:ember_003:-|4:Rest:-:-|5:PlayTop:ember_002:-|6:SelectTarget:-:A1|7:PlayTop:ember_001:-|8:SelectTarget:-:A1|9:PlayBottom:ember_004:-|10:Rest:-:-|11:PlayTop:ember_007:-|12:PlayTop:ember_005:-|13:SelectTarget:-:A1|14:PlayBottom:ember_006:-|15:SelectTarget:-:M2|16:Rest:-:-|17:PlayTop:ember_002:-|18:SelectTarget:-:A3|19:PlayTop:ember_005:-|20:SelectTarget:-:I1|21:Rest:-:-|22:PlayTop:ember_005:-|23:SelectTarget:-:M1|24:Rest:-:-|25:SkipPhase:-:-|26:SkipPhase:-:-"
13,Clean,6,20,20,23,0,0,7,21,5,0,25,"SEED:13|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_002:-|3:SelectTarget:-:A1|4:PlayBottom:ember_008:-|5:SelectTarget:-:A2|6:Rest:-:-|7:PlayTop:ember_001:-|8:SelectTarget:-:A3|9:PlayTop:ember_004:-|10:PlayBottom:ember_003:-|11:Rest:-:-|12:PlayTop:ember_001:-|13:SelectTarget:-:A3|14:PlayTop:ember_005:-|15:SelectTarget:-:A1|16:PlayBottom:ember_006:-|17:SelectTarget:-:A2|18:Rest:-:-|19:PlayTop:ember_007:-|20:PlayTop:ember_005:-|21:SelectTarget:-:M1|22:Rest:-:-|23:PlayTop:ember_007:-|24:Rest:-:-|25:SkipPhase:-:-|26:SkipPhase:-:-"
14,Clean,6,20,20,23,0,0,6,21,5,0,26,"SEED:14|0:PlayTop:ember_004:-|1:PlayTop:ember_001:-|2:PlayBottom:ember_003:-|3:Rest:-:-|4:PlayTop:ember_006:-|5:SelectTarget:-:M1|6:PlayTop:ember_002:-|7:SelectTarget:-:A1|8:PlayBottom:ember_008:-|9:SelectTarget:-:A1|10:Rest:-:-|11:PlayTop:ember_001:-|12:SelectTarget:-:A3|13:PlayTop:ember_007:-|14:PlayBottom:ember_006:-|15:SelectTarget:-:A2|16:Rest:-:-|17:PlayTop:ember_005:-|18:SelectTarget:-:A1|19:PlayTop:ember_001:-|20:Rest:-:-|21:PlayTop:ember_001:-|22:SelectTarget:-:A3|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
15,Clean,6,20,20,23,0,0,7,21,5,0,23,"SEED:15|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_006:-|7:SelectTarget:-:A1|8:PlayTop:ember_003:-|9:PlayBottom:ember_001:-|10:SelectTarget:-:A2|11:Rest:-:-|12:PlayTop:ember_004:-|13:PlayTop:ember_005:-|14:SelectTarget:-:A1|15:PlayBottom:ember_006:-|16:SelectTarget:-:M2|17:Rest:-:-|18:PlayTop:ember_007:-|19:PlayTop:ember_005:-|20:SelectTarget:-:M1|21:Rest:-:-|22:PlayTop:ember_007:-|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
