seed,result,tides_completed,final_weave,max_weave,invaders_killed,natives_killed,heart_damage_events,peak_corruption,total_corruption_at_end,total_presence_at_end,sacrifices,total_fear_generated,export_string
42,Weathered,6,20,20,23,4,0,9,36,3,0,37,"SEED:42|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_001:-|3:PlayBottom:ember_003:-|4:Rest:-:-|5:PlayTop:ember_002:-|6:SelectTarget:-:A1|7:PlayTop:ember_008:-|8:SelectTarget:-:A1|9:PlayBottom:ember_004:-|10:Rest:-:-|11:PlayTop:ember_001:-|12:SelectTarget:-:A3|13:PlayTop:ember_008:-|14:SelectTarget:-:A1|15:PlayBottom:ember_007:-|16:Rest:-:-|17:PlayTop:ember_005:-|18:SelectTarget:-:M1|19:PlayTop:ember_001:-|20:Rest:-:-|21:PlayTop:ember_005:-|22:SelectTarget:-:A1|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
43,Weathered,6,20,20,23,0,0,8,35,5,0,34,"SEED:43|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_003:-|4:Rest:-:-|5:PlayTop:ember_006:-|6:SelectTarget:-:A1|7:PlayTop:ember_001:-|8:SelectTarget:-:A2|9:PlayBottom:ember_008:-|10:SelectTarget:-:A1|11:Rest:-:-|12:PlayTop:ember_004:-|13:PlayTop:ember_005:-|14:SelectTarget:-:A1|15:PlayBottom:ember_006:-|16:SelectTarget:-:A2|17:Rest:-:-|18:PlayTop:ember_004:-|19:PlayTop:ember_007:-|20:Rest:-:-|21:PlayTop:ember_007:-|22:Rest:-:-|23:SkipPhase:-:-|24:SkipPhase:-:-"
44,Weathered,6,20,20,23,0,0,8,33,4,0,26,"SEED:44|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_002:-|7:SelectTarget:-:A1|8:PlayTop:ember_001:-|9:SelectTarget:-:A3|10:PlayBottom:ember_003:-|11:Rest:-:-|12:PlayTop:ember_004:-|13:PlayTop:ember_005:-|14:SelectTarget:-:A1|15:PlayBottom:ember_002:-|16:SelectTarget:-:A2|17:Rest:-:-|18:PlayTop:ember_005:-|19:SelectTarget:-:A3|20:PlayTop:ember_007:-|21:Rest:-:-|22:PlayTop:ember_005:-|23:SelectTarget:-:A3|24:Rest:-:-|25:SkipPhase:-:-|26:SkipPhase:-:-"
45,Weathered,6,20,20,23,0,0,10,39,6,0,16,"SEED:45|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_001:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_006:-|7:SelectTarget:-:A2|8:PlayTop:ember_004:-|9:PlayBottom:ember_003:-|10:Rest:-:-|11:PlayTop:ember_007:-|12:PlayTop:ember_005:-|13:SelectTarget:-:A1|14:PlayBottom:ember_002:-|15:SelectTarget:-:A1|16:Rest:-:-|17:PlayTop:ember_006:-|18:SelectTarget:-:M2|19:PlayTop:ember_007:-|20:Rest:-:-|21:PlayTop:ember_006:-|22:SelectTarget:-:A3|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
46,Weathered,6,20,20,23,0,0,9,41,5,0,29,"SEED:46|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_002:-|3:SelectTarget:-:A1|4:PlayBottom:ember_003:-|5:Rest:-:-|6:PlayTop:ember_008:-|7:SelectTarget:-:A1|8:PlayTop:ember_001:-|9:SelectTarget:-:A2|10:PlayBottom:ember_004:-|11:Rest:-:-|12:PlayTop:ember_001:-|13:SelectTarget:-:A2|14:PlayTop:ember_007:-|15:PlayBottom:ember_006:-|16:SelectTarget:-:M2|17:Rest:-:-|18:PlayTop:ember_005:-|19:SelectTarget:-:A1|20:PlayTop:ember_007:-|21:Rest:-:-|22:PlayTop:ember_005:-|23:SelectTarget:-:A1|24:Rest:-:-|25:SkipPhase:-:-|26:SkipPhase:-:-"
47,Weathered,6,20,20,23,0,0,8,31,4,0,16,"SEED:47|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_003:-|4:Rest:-:-|5:PlayTop:ember_006:-|6:SelectTarget:-:A1|7:PlayTop:ember_008:-|8:SelectTarget:-:A2|9:PlayBottom:ember_001:-|10:SelectTarget:-:A3|11:Rest:-:-|12:PlayTop:ember_005:-|13:SelectTarget:-:A1|14:PlayTop:ember_007:-|15:PlayBottom:ember_008:-|16:SelectTarget:-:A1|17:Rest:-:-|18:PlayTop:ember_002:-|19:SelectTarget:-:M2|20:PlayTop:ember_007:-|21:Rest:-:-|22:PlayTop:ember_007:-|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
48,Weathered,6,20,20,23,0,0,11,38,4,0,12,"SEED:48|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_006:-|7:SelectTarget:-:A1|8:PlayTop:ember_001:-|9:SelectTarget:-:A3|10:PlayBottom:ember_003:-|11:Rest:-:-|12:PlayTop:ember_001:-|13:SelectTarget:-:A1|14:PlayTop:ember_007:-|15:PlayBottom:ember_002:-|16:SelectTarget:-:M2|17:Rest:-:-|18:PlayTop:ember_005:-|19:SelectTarget:-:A3|20:PlayTop:ember_007:-|21:Rest:-:-|22:PlayTop:ember_007:-|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
49,Weathered,6,20,20,23,0,0,8,32,5,0,23,"SEED:49|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_006:-|3:SelectTarget:-:A1|4:PlayBottom:ember_003:-|5:Rest:-:-|6:PlayTop:ember_001:-|7:SelectTarget:-:A1|8:PlayTop:ember_008:-|9:SelectTarget:-:A2|10:PlayBottom:ember_004:-|11:Rest:-:-|12:PlayTop:ember_001:-|13:SelectTarget:-:A1|14:PlayTop:ember_007:-|15:PlayBottom:ember_006:-|16:SelectTarget:-:M2|17:Rest:-:-|18:PlayTop:ember_001:-|19:SelectTarget:-:A3|20:PlayTop:ember_005:-|21:SelectTarget:-:A1|22:Rest:-:-|23:PlayTop:ember_001:-|24:SelectTarget:-:A3|25:Rest:-:-|26:SkipPhase:-:-|27:SkipPhase:-:-"
50,Weathered,6,20,20,23,2,0,9,44,5,0,33,"SEED:50|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_006:-|7:SelectTarget:-:A1|8:PlayTop:ember_001:-|9:SelectTarget:-:A2|10:PlayBottom:ember_003:-|11:Rest:-:-|12:PlayTop:ember_004:-|13:PlayTop:ember_007:-|14:PlayBottom:ember_006:-|15:SelectTarget:-:M2|16:Rest:-:-|17:PlayTop:ember_004:-|18:PlayTop:ember_005:-|19:SelectTarget:-:A2|20:Rest:-:-|21:PlayTop:ember_005:-|22:SelectTarget:-:A1|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
51,Weathered,6,20,20,23,0,0,8,29,3,0,34,"SEED:51|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_003:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A2|5:Rest:-:-|6:PlayTop:ember_002:-|7:SelectTarget:-:A1|8:PlayTop:ember_001:-|9:SelectTarget:-:A3|10:PlayBottom:ember_004:-|11:Rest:-:-|12:PlayTop:ember_003:-|13:PlayTop:ember_001:-|14:SelectTarget:-:A3|15:PlayBottom:ember_007:-|16:Rest:-:-|17:PlayTop:ember_005:-|18:SelectTarget:-:A1|19:PlayTop:ember_001:-|20:Rest:-:-|21:PlayTop:ember_001:-|22:Rest:-:-|23:SkipPhase:-:-|24:SkipPhase:-:-"
