seed,tide,weave,alive_invaders,total_presence,total_corruption,fear_generated_this_tide,invaders_killed_this_tide,invaders_arrived_this_tide
42,1,20,3,2,2,0,0,3
42,2,20,6,3,6,3,1,4
42,3,20,6,3,18,19,4,6
42,4,20,4,3,25,9,6,4
42,5,20,4,3,29,3,4,4
42,6,20,6,3,36,3,2,4
43,1,20,3,2,2,3,0,3
43,2,20,5,3,5,3,2,4
43,3,20,5,3,9,15,4,5
43,4,20,4,5,19,7,5,4
43,5,20,4,5,27,4,4,4
43,6,20,4,5,35,2,4,4
44,1,20,3,2,2,3,0,3
44,2,20,4,3,6,4,3,4
44,3,20,5,3,13,15,3,4
44,4,20,4,4,19,4,5,4
44,5,20,4,4,25,0,4,4
44,6,20,5,4,33,0,3,4
45,1,20,3,2,2,0,0,3
45,2,20,4,3,7,3,3,4
45,3,20,4,3,11,9,4,4
45,4,20,4,5,19,2,4,4
45,5,20,4,6,29,2,4,4
45,6,20,4,6,39,0,4,4
46,1,20,3,3,3,0,0,3
46,2,20,5,3,7,3,2,4
46,3,20,7,3,21,18,2,4
46,4,20,4,5,28,4,7,4
46,5,20,4,5,33,4,4,4
46,6,20,6,5,41,0,2,4
47,1,20,3,2,2,3,0,3
47,2,20,5,3,5,5,2,4
47,3,20,4,3,8,0,5,4
47,4,20,4,4,15,8,4,4
47,5,20,4,4,23,0,4,4
47,6,20,6,4,31,0,2,4
48,1,20,3,2,2,3,0,3
48,2,20,4,3,6,0,3,4
48,3,20,5,3,17,9,3,4
48,4,20,4,4,23,0,5,4
48,5,20,4,4,30,0,4,4
48,6,20,5,4,38,0,3,4
49,1,20,3,3,3,0,0,3
49,2,20,5,3,7,3,2,4
49,3,20,7,3,11,12,2,7
49,4,20,4,5,17,4,7,4
49,5,20,4,5,24,4,4,4
49,6,20,6,5,32,0,2,4
50,1,20,3,2,2,3,0,3
50,2,20,5,3,6,0,2,4
50,3,20,7,3,23,14,2,5
50,4,20,4,5,32,7,7,4
50,5,20,4,5,36,7,4,4
50,6,20,6,5,44,2,2,4
51,1,20,3,2,2,0,0,3
51,2,20,4,3,6,2,3,4
51,3,20,4,3,11,14,4,4
51,4,20,4,3,15,9,4,4
51,5,20,4,3,22,6,4,4
51,6,20,6,3,29,3,2,4
52,1,20,3,1,1,3,0,3
52,2,20,4,3,5,0,3,4
52,3,20,6,3,18,10,2,4
52,4,20,4,5,26,10,6,4
52,5,20,4,5,34,7,4,4
52,6,20,7,5,39,2,1,4
53,1,20,3,2,2,3,0,3
53,2,20,6,3,5,7,1,4
53,3,20,4,3,9,6,6,4
53,4,20,4,5,17,7,4,4
53,5,20,4,5,24,7,4,4
53,6,20,5,5,32,0,3,4
54,1,20,3,1,1,3,0,3
54,2,20,5,3,5,0,2,4
54,3,20,8,3,22,12,1,4
54,4,20,4,5,30,4,8,4
54,5,20,4,5,36,4,4,4
54,6,20,5,5,44,0,3,4
55,1,20,3,3,3,0,0,3
55,2,20,4,3,7,0,3,4
55,3,20,4,3,12,10,4,4
55,4,20,4,4,17,3,4,4
55,5,20,4,4,22,3,4,4
55,6,20,5,4,30,3,3,4
56,1,20,3,3,3,0,0,3
56,2,20,4,3,7,0,3,4
56,3,20,6,3,20,12,2,4
56,4,20,4,4,29,3,6,4
56,5,20,4,4,36,3,4,4
56,6,20,5,4,44,3,3,4
57,1,20,3,2,2,3,0,3
57,2,20,5,3,6,4,2,4
57,3,20,5,3,11,12,4,5
57,4,20,4,3,15,7,5,4
57,5,20,4,3,22,0,4,4
57,6,20,6,3,29,0,2,4
58,1,20,3,3,3,0,0,3
58,2,20,5,3,7,0,2,4
58,3,20,6,3,20,14,3,5
58,4,20,4,5,30,4,6,4
58,5,20,4,5,38,7,4,4
58,6,20,5,5,46,2,3,4
59,1,20,3,2,2,3,0,3
59,2,20,4,3,6,0,3,4
59,3,20,6,3,9,10,2,6
59,4,20,4,4,15,0,6,4
59,5,20,4,4,23,0,4,4
59,6,20,4,4,31,0,4,4
60,1,20,3,3,3,0,0,3
60,2,20,4,3,7,0,3,4
60,3,20,5,3,15,12,3,4
60,4,20,4,5,24,4,5,4
60,5,20,4,5,31,4,4,4
60,6,20,6,5,39,2,2,4
61,1,20,3,2,2,0,0,3
61,2,20,6,3,6,3,1,4
61,3,20,4,3,13,3,6,4
61,4,20,4,3,15,12,4,4
61,5,20,4,3,22,7,4,4
61,6,20,5,3,29,2,3,4
62,1,20,3,2,2,3,0,3
62,2,20,4,3,6,0,3,4
62,3,20,5,3,15,10,3,4
62,4,20,4,4,22,8,5,4
62,5,20,4,4,26,3,4,4
62,6,20,5,4,34,3,3,4
63,1,20,3,2,2,0,0,3
63,2,20,4,3,6,0,3,4
63,3,20,6,3,9,8,2,6
63,4,20,4,6,20,6,6,4
63,5,20,4,6,29,6,4,4
63,6,20,5,6,38,3,3,4
64,1,20,3,2,2,3,0,3
64,2,20,4,3,6,0,3,4
64,3,20,5,3,13,12,3,4
64,4,20,4,5,21,4,5,4
64,5,20,4,5,29,4,4,4
64,6,20,5,5,37,2,3,4
65,1,20,3,3,3,0,0,3
65,2,20,5,3,7,3,2,4
65,3,20,5,3,11,12,4,5
65,4,20,4,5,17,4,5,4
65,5,20,4,5,25,4,4,4
65,6,20,5,5,33,2,3,4
66,1,20,3,3,3,0,0,3
66,2,20,4,3,7,3,3,4
66,3,20,4,3,9,9,4,4
66,4,20,4,5,16,4,4,4
66,5,20,4,5,24,7,4,4
66,6,20,4,5,32,0,4,4
67,1,20,3,3,3,0,0,3
67,2,20,4,3,6,8,3,4
67,3,20,4,3,11,9,4,4
67,4,20,4,4,16,7,4,4
67,5,20,4,4,24,7,4,4
67,6,20,5,4,32,8,3,4
68,1,20,3,3,3,0,0,3
68,2,20,5,3,7,3,2,4
68,3,20,6,3,15,15,3,4
68,4,20,4,4,22,0,6,4
