seed,result,tides_completed,final_weave,max_weave,invaders_killed,natives_killed,heart_damage_events,peak_corruption,total_corruption_at_end,total_presence_at_end,sacrifices,total_fear_generated,dread_level,cards_removed,final_corruption_json,game_version,balance_hash,export_string
1,Weathered,6,20,20,14,5,0,5,0,8,0,34,3,0,"{}",0.8.0,EBF4EDEE70DC,"SEED:1|0:PlayTop:root_004:-|1:PlayTop:root_006:-|2:SelectTarget:-:M1|3:PlayBottom:root_003:-|4:PlayTop:root_002:-|5:SelectTarget:-:A1|6:PlayTop:root_005:-|7:SelectTarget:-:M1|8:PlayBottom:root_025:-|9:SelectTarget:-:M2|10:Rest:-:A1|11:PlayTop:root_009:-|12:SelectTarget:-:A1|13:PlayTop:root_008:-|14:PlayBottom:root_002:-|15:SelectTarget:-:A1|16:PlayTop:root_025:-|17:SelectTarget:-:I1|18:PlayTop:root_001:-|19:SelectTarget:-:A2|20:PlayBottom:root_005:-|21:SelectTarget:-:M1|22:Rest:-:A2|23:PlayTop:root_003:-|24:SelectTarget:-:A2|25:PlayTop:root_004:-|26:PlayBottom:root_006:-|27:PlayTop:root_025:-|28:SelectTarget:-:I1|29:PlayTop:root_007:-|30:PlayBottom:root_008:-|31:PlayTop:root_001:-|32:PlayTop:root_005:-|33:SkipPhase:-:-|34:PlayTop:root_002:-|35:PlayTop:root_009:-|36:SkipPhase:-:-"
2,Weathered,6,20,20,22,0,0,0,0,8,0,26,2,0,"{}",0.8.0,EBF4EDEE70DC,"SEED:2|0:PlayTop:root_004:-|1:PlayTop:root_002:-|2:SelectTarget:-:M1|3:PlayBottom:root_007:-|4:PlayTop:root_009:-|5:SelectTarget:-:A1|6:PlayTop:root_005:-|7:SelectTarget:-:M1|8:PlayBottom:root_025:-|9:SelectTarget:-:A1|10:Rest:-:A1|11:PlayTop:root_006:-|12:SelectTarget:-:A1|13:PlayTop:root_008:-|14:PlayBottom:root_007:-|15:PlayTop:root_025:-|16:SelectTarget:-:I1|17:PlayTop:root_001:-|18:PlayBottom:root_004:-|19:Rest:-:A2|20:PlayTop:root_001:-|21:PlayTop:root_003:-|22:PlayBottom:root_005:-|23:SelectTarget:-:I1|24:PlayTop:root_008:-|25:PlayTop:root_007:-|26:PlayBottom:root_009:-|27:SelectTarget:-:A1|28:PlayTop:root_025:-|29:PlayTop:root_004:-|30:SkipPhase:-:-|31:PlayTop:root_002:-|32:PlayTop:root_006:-|33:SkipPhase:-:-"
3,Weathered,6,20,20,17,1,0,4,1,8,0,26,2,0,"{}",0.8.0,EBF4EDEE70DC,"SEED:3|0:PlayTop:root_004:-|1:PlayTop:root_009:-|2:SelectTarget:-:M1|3:PlayBottom:root_002:-|4:SelectTarget:-:A1|5:PlayTop:root_008:-|6:PlayTop:root_025:-|7:SelectTarget:-:A1|8:PlayBottom:root_007:-|9:Rest:-:A1|10:PlayTop:root_004:-|11:PlayTop:root_006:-|12:SelectTarget:-:A1|13:PlayBottom:root_005:-|14:SelectTarget:-:I1|15:PlayTop:root_025:-|16:SelectTarget:-:A1|17:PlayTop:root_001:-|18:PlayBottom:root_009:-|19:SelectTarget:-:A1|20:Rest:-:A2|21:PlayTop:root_003:-|22:PlayTop:root_025:-|23:SelectTarget:-:A3|24:PlayBottom:root_008:-|25:PlayTop:root_005:-|26:SelectTarget:-:I1|27:PlayTop:root_004:-|28:PlayBottom:root_006:-|29:PlayTop:root_001:-|30:PlayTop:root_007:-|31:SkipPhase:-:-|32:PlayTop:root_002:-|33:PlayTop:root_009:-|34:SkipPhase:-:-"
4,Weathered,6,14,20,15,5,2,6,0,8,0,35,3,0,"{}",0.8.0,EBF4EDEE70DC,"SEED:4|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_005:-|3:SelectTarget:-:I1|4:PlayBottom:root_025:-|5:SelectTarget:-:A1|6:PlayTop:root_006:-|7:SelectTarget:-:A1|8:PlayTop:root_002:-|9:SelectTarget:-:A1|10:PlayBottom:root_007:-|11:Rest:-:A1|12:PlayTop:root_004:-|13:PlayTop:root_008:-|14:PlayBottom:root_025:-|15:SelectTarget:-:I1|16:PlayTop:root_001:-|17:SelectTarget:-:M1|18:PlayTop:root_003:-|19:SelectTarget:-:M2|20:PlayBottom:root_005:-|21:SelectTarget:-:I1|22:Rest:-:A2|23:PlayTop:root_001:-|24:SelectTarget:-:M1|25:PlayTop:root_007:-|26:PlayBottom:root_009:-|27:SelectTarget:-:I1|28:PlayTop:root_003:-|29:PlayTop:root_002:-|30:SelectTarget:-:A1|31:PlayBottom:root_006:-|32:PlayTop:root_008:-|33:PlayTop:root_025:-|34:SkipPhase:-:-|35:PlayTop:root_005:-|36:PlayTop:root_004:-|37:SkipPhase:-:-"
5,Weathered,6,20,20,23,0,0,0,0,8,0,35,3,0,"{}",0.8.0,EBF4EDEE70DC,"SEED:5|0:PlayTop:root_004:-|1:PlayTop:root_009:-|2:SelectTarget:-:M1|3:PlayBottom:root_005:-|4:SelectTarget:-:A1|5:PlayTop:root_006:-|6:SelectTarget:-:A1|7:PlayTop:root_008:-|8:PlayBottom:root_007:-|9:Rest:-:A1|10:PlayTop:root_004:-|11:PlayTop:root_002:-|12:SelectTarget:-:A1|13:PlayBottom:root_025:-|14:SelectTarget:-:I1|15:PlayTop:root_003:-|16:PlayTop:root_001:-|17:PlayBottom:root_006:-|18:Rest:-:A2|19:PlayTop:root_009:-|20:SelectTarget:-:A1|21:PlayTop:root_002:-|22:SelectTarget:-:A1|23:PlayBottom:root_008:-|24:PlayTop:root_025:-|25:SelectTarget:-:A1|26:PlayTop:root_001:-|27:PlayBottom:root_005:-|28:SelectTarget:-:A1|29:PlayTop:root_003:-|30:PlayTop:root_004:-|31:SkipPhase:-:-|32:PlayTop:root_007:-|33:PlayTop:root_006:-|34:SkipPhase:-:-"
6,Weathered,6,20,20,17,1,0,3,0,8,0,13,1,0,"{}",0.8.0,EBF4EDEE70DC,"SEED:6|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_006:-|3:SelectTarget:-:A1|4:PlayBottom:root_025:-|5:SelectTarget:-:A2|6:PlayTop:root_005:-|7:SelectTarget:-:M1|8:PlayTop:root_002:-|9:SelectTarget:-:A1|10:PlayBottom:root_007:-|11:Rest:-:A1|12:PlayTop:root_004:-|13:PlayTop:root_006:-|14:SelectTarget:-:A1|15:PlayBottom:root_001:-|16:PlayTop:root_003:-|17:PlayTop:root_005:-|18:SelectTarget:-:A2|19:PlayBottom:root_008:-|20:Rest:-:A2|21:PlayTop:root_025:-|22:SelectTarget:-:A1|23:PlayTop:root_007:-|24:PlayBottom:root_009:-|25:SelectTarget:-:I1|26:PlayTop:root_004:-|27:PlayTop:root_005:-|28:SelectTarget:-:A1|29:PlayBottom:root_002:-|30:SelectTarget:-:A1|31:PlayTop:root_001:-|32:PlayTop:root_003:-|33:SkipPhase:-:-|34:PlayTop:root_008:-|35:PlayTop:root_006:-|36:SkipPhase:-:-"
7,Weathered,6,12,20,11,5,5,7,0,8,0,36,3,0,"{}",0.8.0,EBF4EDEE70DC,"SEED:7|0:PlayTop:root_004:-|1:PlayTop:root_006:-|2:SelectTarget:-:M1|3:PlayBottom:root_003:-|4:PlayTop:root_009:-|5:SelectTarget:-:A1|6:PlayTop:root_008:-|7:PlayBottom:root_025:-|8:SelectTarget:-:A1|9:Rest:-:A1|10:PlayTop:root_005:-|11:SelectTarget:-:M1|12:PlayTop:root_002:-|13:SelectTarget:-:A1|14:PlayBottom:root_001:-|15:SelectTarget:-:A2|16:PlayTop:root_003:-|17:SelectTarget:-:A1|18:PlayTop:root_007:-|19:PlayBottom:root_009:-|20:SelectTarget:-:M1|21:Rest:-:A2|22:PlayTop:root_005:-|23:SelectTarget:-:I1|24:PlayTop:root_006:-|25:SelectTarget:-:A1|26:PlayBottom:root_008:-|27:PlayTop:root_025:-|28:SelectTarget:-:I1|29:PlayTop:root_001:-|30:PlayBottom:root_004:-|31:PlayTop:root_003:-|32:PlayTop:root_007:-|33:SkipPhase:-:-|34:PlayTop:root_009:-|35:PlayTop:root_002:-|36:SkipPhase:-:-"
8,Weathered,6,20,20,16,2,0,11,6,8,0,39,3,0,"{}",0.8.0,EBF4EDEE70DC,"SEED:8|0:PlayTop:root_002:-|1:SelectTarget:-:M1|2:PlayTop:root_009:-|3:SelectTarget:-:A1|4:PlayBottom:root_005:-|5:SelectTarget:-:A1|6:PlayTop:root_004:-|7:PlayTop:root_008:-|8:PlayBottom:root_025:-|9:SelectTarget:-:M2|10:Rest:-:A1|11:PlayTop:root_006:-|12:SelectTarget:-:A1|13:PlayTop:root_009:-|14:SelectTarget:-:A1|15:PlayBottom:root_003:-|16:PlayTop:root_001:-|17:PlayTop:root_005:-|18:SelectTarget:-:M1|19:PlayBottom:root_004:-|20:Rest:-:A2|21:PlayTop:root_001:-|22:PlayTop:root_007:-|23:PlayBottom:root_008:-|24:PlayTop:root_025:-|25:SelectTarget:-:M1|26:PlayTop:root_004:-|27:PlayBottom:root_009:-|28:SelectTarget:-:M1|29:PlayTop:root_003:-|30:PlayTop:root_005:-|31:SkipPhase:-:-|32:PlayTop:root_002:-|33:PlayTop:root_006:-|34:SkipPhase:-:-"
9,Breach,6,0,20,9,3,7,5,0,8,0,24,2,0,"{}",0.8.0,EBF4EDEE70DC,"SEED:9|0:PlayTop:root_004:-|1:PlayTop:root_002:-|2:SelectTarget:-:M1|3:PlayBottom:root_005:-|4:SelectTarget:-:A2|5:PlayTop:root_009:-|6:SelectTarget:-:A1|7:PlayTop:root_025:-|8:SelectTarget:-:A1|9:PlayBottom:root_007:-|10:Rest:-:A1|11:PlayTop:root_006:-|12:SelectTarget:-:A1|13:PlayTop:root_009:-|14:SelectTarget:-:A1|15:PlayBottom:root_003:-|16:SelectTarget:-:A1|17:PlayTop:root_025:-|18:SelectTarget:-:I1|19:PlayTop:root_001:-|20:SelectTarget:-:A2|21:PlayBottom:root_008:-|22:Rest:-:A2|23:PlayTop:root_005:-|24:SelectTarget:-:I1|25:PlayTop:root_004:-|26:PlayBottom:root_006:-|27:PlayTop:root_003:-|28:PlayTop:root_007:-|29:PlayTop:root_025:-"
10,Weathered,6,17,20,12,5,2,6,11,8,0,27,2,0,"{}",0.8.0,EBF4EDEE70DC,"SEED:10|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_005:-|3:SelectTarget:-:I1|4:PlayBottom:root_025:-|5:SelectTarget:-:A1|6:PlayTop:root_004:-|7:PlayTop:root_006:-|8:SelectTarget:-:A1|9:PlayBottom:root_002:-|10:SelectTarget:-:A1|11:Rest:-:A1|12:PlayTop:root_008:-|13:PlayTop:root_002:-|14:SelectTarget:-:A1|15:PlayBottom:root_003:-|16:SelectTarget:-:A1|17:PlayTop:root_001:-|18:SelectTarget:-:A2|19:PlayTop:root_005:-|20:SelectTarget:-:M1|21:PlayBottom:root_009:-|22:SelectTarget:-:I1|23:Rest:-:A2|24:PlayTop:root_025:-|25:SelectTarget:-:M1|26:PlayTop:root_004:-|27:PlayBottom:root_006:-|28:PlayTop:root_007:-|29:PlayTop:root_002:-|30:SelectTarget:-:A1|31:PlayBottom:root_008:-|32:PlayTop:root_003:-|33:PlayTop:root_001:-|34:SkipPhase:-:-|35:PlayTop:root_005:-|36:PlayTop:root_009:-|37:SkipPhase:-:-"
