seed,tide,weave,alive_invaders,total_presence,total_corruption,fear_generated_this_tide,invaders_killed_this_tide,invaders_arrived_this_tide
1,1,20,3,2,0,3,0,3
1,2,20,7,4,0,8,0,4
1,3,20,15,8,25,14,0,12
1,4,20,15,8,1,4,4,4
1,5,20,23,9,0,8,0,11
1,6,16,25,11,0,9,2,4
2,1,20,3,2,0,0,0,3
2,2,20,7,3,0,11,0,4
2,3,20,12,7,0,6,3,12
2,4,14,14,10,0,12,2,6
2,5,15,11,10,0,4,11,8
2,6,15,13,11,0,7,2,4
3,1,20,3,3,0,0,0,3
3,2,20,6,4,0,11,1,4
3,3,20,14,7,0,6,0,14
3,4,20,9,8,0,4,9,4
3,5,20,17,11,0,10,0,9
3,6,20,15,11,0,7,6,7
4,1,20,3,2,0,2,0,3
4,2,20,7,4,0,4,0,4
4,3,20,15,10,25,11,0,12
4,4,18,16,11,9,6,3,4
4,5,20,23,11,0,4,1,14
4,6,0,20,11,0,9,7,4
5,1,20,3,2,0,3,0,3
5,2,20,6,4,0,6,1,4
5,3,20,13,8,0,6,1,13
5,4,20,12,8,0,4,5,6
5,5,20,15,9,0,12,5,10
5,6,20,12,11,0,4,7,4
6,1,20,3,3,0,0,0,3
6,2,20,5,5,0,6,2,4
6,3,20,13,8,0,9,0,13
6,4,11,15,8,0,4,2,6
6,5,11,16,10,0,6,7,11
6,6,11,9,11,0,4,11,4
7,1,20,3,2,0,3,0,3
7,2,20,6,4,0,4,1,4
7,3,20,11,7,8,6,3,9
7,4,20,12,9,0,10,3,4
7,5,20,12,9,0,4,8,8
7,6,20,13,11,0,10,3,6
8,1,20,3,3,0,0,0,3
8,2,20,6,5,0,6,1,4
8,3,20,12,8,0,13,2,9
8,4,20,12,10,0,7,4,4
8,5,20,13,10,0,14,7,10
8,6,20,9,11,0,9,8,4
9,1,20,3,2,0,2,0,3
9,2,20,7,4,0,7,0,4
9,3,20,12,7,13,7,3,9
9,4,20,10,10,0,4,6,5
9,5,20,11,10,0,9,7,8
9,6,20,12,11,0,4,3,4
10,1,20,3,2,0,2,0,3
10,2,20,6,4,0,7,1,4
10,3,20,14,8,17,6,0,9
10,4,20,9,8,0,7,9,4
10,5,20,13,8,0,6,4,10
10,6,20,12,10,0,10,5,4
11,1,20,3,2,0,2,0,3
11,2,20,7,3,0,9,0,4
11,3,20,12,7,0,7,3,12
11,4,15,14,10,0,7,2,7
11,5,15,14,10,0,14,8,9
11,6,15,10,11,0,7,8,4
12,1,20,3,3,0,0,0,3
12,2,20,5,5,0,7,2,4
12,3,20,13,9,20,14,0,10
12,4,20,13,9,0,4,4,4
12,5,20,16,9,0,9,5,10
12,6,20,15,10,0,10,5,4
13,1,20,3,3,0,0,0,3
13,2,20,7,4,0,6,0,4
13,3,20,15,7,0,13,0,15
13,4,20,12,9,0,4,7,4
13,5,20,18,11,0,6,2,9
13,6,20,13,12,0,4,9,5
14,1,20,3,2,0,2,0,3
14,2,20,7,4,0,15,0,4
14,3,20,12,8,0,7,3,12
14,4,15,14,8,0,9,2,7
14,5,16,14,8,0,7,8,9
14,6,16,10,11,0,4,8,4
15,1,20,3,3,0,0,0,3
15,2,20,5,5,0,7,2,4
15,3,20,11,8,12,8,2,8
15,4,20,9,8,2,7,6,5
15,5,20,15,9,0,7,2,9
15,6,20,10,10,0,16,9,4
16,1,20,3,1,0,2,0,3
16,2,20,6,4,0,6,1,4
16,3,20,12,8,0,7,2,12
16,4,15,10,9,0,7,6,4
16,5,15,15,9,0,6,3,9
16,6,15,9,10,0,4,10,4
17,1,20,3,3,0,0,0,3
17,2,20,6,5,0,6,1,4
17,3,20,13,8,19,13,1,8
17,4,20,13,8,0,9,4,4
17,5,20,19,12,0,4,2,10
17,6,20,17,12,0,4,6,9
18,1,20,3,2,0,0,0,3
18,2,20,7,4,0,11,0,4
18,3,20,15,10,22,4,0,9
18,4,20,8,10,12,7,11,4
18,5,20,15,11,0,6,1,9
18,6,20,14,13,0,4,5,7
19,1,20,3,1,0,5,0,3
19,2,20,7,4,0,4,0,4
19,3,20,12,7,0,4,3,12
19,4,15,10,8,0,7,6,4
19,5,16,16,10,0,9,2,9
19,6,18,13,11,0,4,7,4
20,1,20,3,3,0,0,0,3
20,2,20,6,5,0,9,1,4
20,3,20,12,8,16,10,2,11
20,4,19,14,8,0,7,2,4
20,5,19,19,9,0,7,3,12
20,6,20,19,9,0,7,4,4
21,1,20,3,2,0,3,0,3
21,2,20,6,4,0,6,1,4
21,3,20,13,8,0,4,1,13
21,4,20,12,8,0,6,5,4
21,5,20,18,10,0,10,2,9
21,6,20,17,11,0,9,5,9
22,1,20,3,2,0,0,0,3
22,2,20,7,4,0,11,0,4
22,3,20,15,8,0,9,0,15
22,4,20,9,8,0,4,10,4
22,5,20,17,10,0,7,0,9
22,6,20,15,11,0,6,6,7
23,1,20,3,2,0,0,0,3
23,2,20,6,4,0,7,1,4
23,3,20,12,7,17,12,2,10
23,4,20,14,9,0,4,2,4
23,5,20,18,9,0,7,4,12
23,6,15,15,11,0,4,7,4
24,1,20,3,2,0,0,0,3
24,2,20,6,4,0,8,1,4
24,3,20,14,8,0,7,0,14
24,4,20,8,8,0,7,10,5
24,5,20,13,10,0,6,3,9
24,6,20,8,10,0,13,9,4
25,1,20,3,3,0,0,0,3
25,2,20,7,5,0,6,0,4
25,3,20,14,9,0,7,1,14
25,4,12,14,9,0,6,4,4
25,5,12,14,9,0,4,8,8
25,6,14,12,10,0,7,6,6
26,1,20,3,2,0,3,0,3
26,2,20,5,4,0,8,2,4
26,3,20,8,7,0,7,5,8
26,4,20,12,9,0,7,0,4
26,5,20,12,9,0,6,8,8
26,6,20,9,11,0,7,7,5
27,1,20,3,3,0,0,0,3
27,2,20,6,5,0,6,1,4
27,3,20,12,8,0,7,2,12
27,4,15,10,9,0,7,6,4
27,5,15,15,12,0,6,3,9
27,6,15,13,12,0,10,6,4
28,1,20,3,2,0,3,0,3
28,2,20,7,4,0,4,0,4
28,3,20,11,8,12,6,4,8
28,4,20,12,9,3,7,3,7
28,5,20,13,9,0,4,7,9
28,6,20,13,11,0,6,4,4
29,1,20,3,3,0,0,0,3
29,2,20,7,6,0,9,0,4
29,3,20,11,10,9,6,4,8
29,4,20,12,10,0,9,3,7
29,5,18,12,10,0,9,8,8
29,6,19,12,12,0,7,4,4
30,1,20,3,3,0,0,0,3
30,2,20,6,5,0,9,1,4
30,3,20,11,8,0,4,3,11
30,4,18,9,9,0,10,6,4
30,5,18,13,9,0,6,4,8
30,6,18,12,11,0,12,5,6
31,1,20,3,3,0,0,0,3
31,2,20,5,5,0,7,2,4
31,3,20,11,8,15,13,2,8
31,4,20,14,10,0,4,1,4
31,5,20,18,11,0,7,4,9
31,6,20,12,12,0,16,10,4
32,1,20,3,3,0,0,0,3
32,2,20,5,5,0,9,2,4
32,3,20,12,8,0,4,1,12
32,4,16,13,10,0,7,3,6
32,5,16,12,10,0,6,9,9
32,6,16,8,11,0,7,8,4
33,1,20,3,2,0,2,0,3
33,2,20,7,4,0,7,0,4
33,3,20,15,8,0,4,0,15
33,4,20,12,8,0,12,7,7
33,5,20,11,10,0,7,9,8
33,6,20,12,11,0,9,3,4
34,1,20,3,2,0,2,0,3
34,2,20,7,4,0,7,0,4
34,3,20,12,8,13,9,3,9
34,4,20,12,9,0,7,4,6
34,5,20,15,11,0,4,5,11
34,6,16,9,11,0,6,10,4
35,1,20,3,3,0,0,0,3
35,2,20,5,5,0,6,2,4
35,3,20,12,10,0,9,1,12
35,4,15,10,12,0,4,6,4
35,5,15,11,12,0,9,7,8
35,6,15,12,13,0,7,3,4
36,1,20,3,3,0,0,0,3
36,2,20,7,4,0,13,0,4
36,3,20,14,7,21,4,1,8
36,4,20,8,8,4,9,10,4
36,5,20,15,10,0,4,1,9
36,6,20,14,11,0,11,5,5
37,1,20,3,2,0,3,0,3
37,2,20,7,4,0,6,0,4
37,3,20,15,8,22,4,0,9
37,4,20,12,8,5,9,7,6
37,5,20,15,10,0,10,5,10
37,6,20,15,10,0,6,4,4
38,1,20,3,3,0,0,0,3
38,2,20,5,5,0,9,2,4
38,3,20,11,8,0,4,2,11
38,4,20,12,8,0,9,3,4
38,5,20,17,9,0,10,3,9
38,6,20,8,9,0,7,13,4
39,1,20,3,2,0,2,0,3
39,2,20,7,4,0,9,0,4
39,3,20,13,8,19,10,2,11
39,4,20,10,9,8,4,7,4
39,5,20,18,10,0,7,0,11
39,6,18,16,11,0,4,6,4
40,1,20,3,3,0,0,0,3
40,2,20,6,5,0,9,1,4
40,3,20,13,8,0,6,1,13
40,4,20,12,8,0,7,5,4
40,5,20,17,10,0,6,3,9
40,6,20,15,11,0,4,6,7
41,1,20,3,2,0,0,0,3
41,2,20,5,4,0,11,2,4
41,3,20,13,10,0,7,0,13
41,4,20,12,10,0,10,5,7
41,5,20,11,10,0,6,9,9
41,6,20,12,12,0,4,3,4
42,1,20,3,3,0,0,0,3
42,2,20,7,3,0,11,0,4
42,3,20,14,8,24,8,1,11
42,4,20,15,10,0,4,3,4
42,5,20,21,10,0,9,2,15
42,6,20,18,11,0,4,7,4
43,1,20,3,3,0,0,0,3
43,2,20,6,5,0,11,1,4
43,3,20,14,8,0,9,0,13
43,4,16,13,8,0,13,5,6
43,5,16,16,10,0,14,5,9
43,6,17,13,11,0,6,7,4
44,1,20,3,2,0,0,0,3
44,2,20,5,4,0,6,2,4
44,3,20,12,9,0,7,1,12
44,4,18,13,11,0,9,3,4
44,5,19,17,11,0,4,4,9
44,6,19,8,11,0,13,13,6
45,1,20,3,2,0,0,0,3
45,2,20,7,3,0,13,0,4
45,3,20,13,8,16,7,2,8
45,4,20,13,11,0,4,4,4
45,5,20,17,11,0,6,4,9
45,6,20,14,12,0,13,7,6
46,1,20,3,3,0,0,0,3
46,2,20,6,5,0,7,1,4
46,3,20,12,8,0,8,2,12
46,4,20,8,8,0,4,8,4
46,5,20,14,9,0,7,2,9
46,6,20,13,11,0,6,5,4
47,1,20,3,2,0,2,0,3
47,2,20,7,4,0,9,0,4
47,3,20,14,8,21,7,1,8
47,4,20,8,8,11,10,10,5
47,5,20,13,9,0,6,3,9
47,6,20,10,11,0,4,7,4
48,1,20,3,3,0,0,0,3
48,2,20,5,5,0,7,2,4
48,3,20,13,8,18,6,0,9
48,4,20,9,8,7,7,8,4
48,5,20,17,9,0,9,0,9
48,6,20,13,10,0,4,8,8
49,1,20,3,3,0,0,0,3
49,2,20,7,4,0,13,0,4
49,3,20,15,9,0,6,0,15
49,4,20,12,10,0,4,7,4
49,5,20,17,11,0,12,3,9
49,6,20,12,12,0,4,9,6
50,1,20,3,3,0,0,0,3
50,2,20,6,5,0,9,1,4
50,3,20,12,9,16,8,2,11
50,4,19,14,11,0,7,2,4
50,5,20,19,11,0,14,3,13
50,6,3,17,11,0,4,6,4
51,1,20,3,3,0,0,0,3
51,2,20,5,5,0,7,2,4
51,3,20,11,8,0,11,2,10
51,4,20,12,10,0,7,3,6
51,5,20,10,11,0,4,10,8
51,6,20,12,11,0,7,2,4
52,1,20,3,2,0,2,0,3
52,2,20,7,4,0,4,0,4
52,3,20,15,10,0,9,0,15
52,4,4,16,11,0,7,3,6
52,5,4,12,11,0,9,12,9
52,6,4,12,13,0,7,4,4
53,1,20,3,1,0,5,0,3
53,2,20,7,3,0,3,0,4
53,3,20,15,6,22,6,0,9
53,4,20,13,11,5,4,6,4
53,5,20,14,13,0,7,7,9
53,6,20,16,13,0,6,2,6
54,1,20,3,2,0,2,0,3
54,2,20,7,4,0,7,0,4
54,3,20,9,8,0,4,6,9
54,4,20,12,9,0,6,1,4
54,5,20,13,9,0,7,7,8
54,6,20,13,11,0,6,4,4
55,1,20,3,3,0,0,0,3
55,2,20,5,5,0,9,2,4
55,3,20,13,9,18,6,0,9
55,4,20,11,9,1,4,6,5
55,5,20,12,9,0,10,7,9
55,6,20,12,12,0,4,4,4
56,1,20,3,2,0,0,0,3
56,2,20,7,4,0,7,0,4
56,3,20,15,10,22,6,0,9
56,4,20,9,10,2,4,10,6
56,5,20,13,11,0,7,4,9
56,6,20,13,11,0,4,4,4
57,1,20,3,3,0,0,0,3
57,2,20,5,5,0,6,2,4
57,3,20,12,8,0,7,1,12
57,4,20,12,8,0,4,4,4
57,5,20,13,8,0,9,7,9
57,6,20,9,10,0,4,8,4
58,1,20,3,2,0,0,0,3
58,2,20,7,4,0,9,0,4
58,3,20,14,8,24,10,1,11
58,4,20,15,10,0,6,3,4
58,5,20,21,10,0,12,2,14
58,6,18,20,11,0,4,5,4
59,1,20,3,3,0,0,0,3
59,2,20,6,5,0,6,1,4
59,3,20,11,8,0,9,3,11
59,4,19,13,8,0,6,2,4
59,5,19,13,9,0,4,8,10
59,6,19,10,10,0,6,7,5
60,1,20,3,3,0,0,0,3
60,2,20,7,4,0,15,0,4
60,3,20,11,7,0,7,4,11
60,4,20,12,10,0,12,3,7
60,5,20,14,10,0,4,6,9
60,6,20,9,10,0,11,9,4
61,1,20,3,3,0,0,0,3
61,2,20,5,5,0,9,2,4
61,3,20,11,8,15,8,2,9
61,4,20,13,9,0,7,2,4
61,5,20,18,9,0,4,3,10
61,6,20,15,10,0,7,7,4
62,1,20,3,3,0,0,0,3
62,2,20,6,5,0,7,1,4
62,3,20,14,9,0,6,0,14
62,4,7,16,9,0,7,2,4
62,5,7,13,9,0,4,11,8
62,6,12,13,9,0,12,4,7
63,1,20,3,1,0,3,0,3
63,2,20,7,4,0,4,0,4
63,3,20,10,8,7,6,5,8
63,4,20,9,8,1,7,5,4
