seed,result,tides_completed,final_weave,max_weave,invaders_killed,natives_killed,heart_damage_events,peak_corruption,total_corruption_at_end,total_presence_at_end,sacrifices,total_fear_generated,export_string
42,Clean,6,20,20,23,4,0,6,0,12,0,45,"SEED:42|0:PlayTop:root_002:-|1:SelectTarget:-:M1|2:PlayTop:root_009:-|3:SelectTarget:-:A1|4:PlayBottom:root_004:-|5:PlayTop:root_005:-|6:PlayTop:root_007:-|7:PlayBottom:root_006:-|8:SelectTarget:-:A2|9:Rest:-:A2|10:PlayTop:root_025:-|11:SelectTarget:-:A1|12:PlayTop:root_005:-|13:PlayBottom:root_008:-|14:PlayTop:root_003:-|15:PlayTop:root_001:-|16:SelectTarget:-:M1|17:PlayBottom:root_009:-|18:SelectTarget:-:M1|19:Rest:-:A1|20:PlayTop:root_025:-|21:SelectTarget:-:A1|22:PlayTop:root_004:-|23:PlayBottom:root_002:-|24:SelectTarget:-:A3|25:PlayTop:root_005:-|26:PlayTop:root_006:-|27:SelectTarget:-:M1|28:PlayBottom:root_008:-|29:PlayTop:root_007:-|30:PlayTop:root_001:-|31:SkipPhase:-:-|32:PlayTop:root_003:-|33:PlayTop:root_009:-|34:SkipPhase:-:-"
43,Clean,6,15,20,23,0,3,0,0,11,0,52,"SEED:43|0:PlayTop:root_002:-|1:SelectTarget:-:M1|2:PlayTop:root_006:-|3:SelectTarget:-:A1|4:PlayBottom:root_009:-|5:SelectTarget:-:A1|6:PlayTop:root_004:-|7:PlayTop:root_005:-|8:PlayBottom:root_008:-|9:Rest:-:A1|10:PlayTop:root_025:-|11:SelectTarget:-:A3|12:PlayTop:root_007:-|13:PlayBottom:root_008:-|14:PlayTop:root_004:-|15:PlayTop:root_005:-|16:PlayBottom:root_006:-|17:SelectTarget:-:A2|18:Rest:-:A1|19:PlayTop:root_005:-|20:PlayTop:root_001:-|21:SelectTarget:-:A1|22:PlayBottom:root_009:-|23:SelectTarget:-:A1|24:PlayTop:root_003:-|25:PlayTop:root_002:-|26:SelectTarget:-:A3|27:PlayBottom:root_008:-|28:PlayTop:root_025:-|29:PlayTop:root_004:-|30:SkipPhase:-:-|31:PlayTop:root_007:-|32:PlayTop:root_006:-|33:SkipPhase:-:-"
44,Clean,6,19,20,23,0,1,0,0,11,0,41,"SEED:44|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_005:-|3:PlayBottom:root_008:-|4:PlayTop:root_007:-|5:PlayTop:root_001:-|6:SelectTarget:-:A1|7:PlayBottom:root_006:-|8:SelectTarget:-:A3|9:Rest:-:A3|10:PlayTop:root_025:-|11:SelectTarget:-:A3|12:PlayTop:root_004:-|13:PlayBottom:root_002:-|14:SelectTarget:-:A2|15:PlayTop:root_005:-|16:PlayTop:root_003:-|17:PlayBottom:root_008:-|18:Rest:-:A1|19:PlayTop:root_005:-|20:PlayTop:root_007:-|21:PlayBottom:root_009:-|22:SelectTarget:-:A2|23:PlayTop:root_025:-|24:SelectTarget:-:A1|25:PlayTop:root_004:-|26:PlayBottom:root_006:-|27:SelectTarget:-:M1|28:PlayTop:root_001:-|29:PlayTop:root_002:-|30:SkipPhase:-:-|31:PlayTop:root_003:-|32:SkipPhase:-:-"
45,Clean,6,20,20,23,0,0,6,0,13,0,38,"SEED:45|0:PlayTop:root_002:-|1:SelectTarget:-:M1|2:PlayTop:root_004:-|3:PlayBottom:root_008:-|4:PlayTop:root_009:-|5:SelectTarget:-:A1|6:PlayTop:root_005:-|7:PlayBottom:root_006:-|8:SelectTarget:-:A3|9:Rest:-:A3|10:PlayTop:root_025:-|11:SelectTarget:-:A1|12:PlayTop:root_003:-|13:PlayBottom:root_001:-|14:SelectTarget:-:A3|15:PlayTop:root_005:-|16:PlayTop:root_007:-|17:PlayBottom:root_002:-|18:SelectTarget:-:A2|19:Rest:-:A1|20:PlayTop:root_004:-|21:PlayTop:root_005:-|22:PlayBottom:root_008:-|23:PlayTop:root_009:-|24:SelectTarget:-:M1|25:PlayTop:root_006:-|26:SelectTarget:-:M2|27:PlayBottom:root_002:-|28:SelectTarget:-:I1|29:PlayTop:root_025:-|30:PlayTop:root_001:-|31:SkipPhase:-:-|32:PlayTop:root_003:-|33:PlayTop:root_007:-|34:SkipPhase:-:-"
46,Clean,6,20,20,23,0,0,0,0,9,0,39,"SEED:46|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_006:-|3:SelectTarget:-:A1|4:PlayBottom:root_025:-|5:SelectTarget:-:A1|6:PlayTop:root_004:-|7:PlayTop:root_008:-|8:PlayBottom:root_002:-|9:SelectTarget:-:M2|10:Rest:-:A1|11:PlayTop:root_005:-|12:PlayTop:root_003:-|13:PlayBottom:root_009:-|14:SelectTarget:-:I1|15:PlayTop:root_025:-|16:SelectTarget:-:A1|17:PlayTop:root_004:-|18:PlayBottom:root_007:-|19:Rest:-:A1|20:PlayTop:root_001:-|21:SelectTarget:-:A1|22:PlayTop:root_006:-|23:SelectTarget:-:A2|24:PlayBottom:root_003:-|25:PlayTop:root_025:-|26:SelectTarget:-:A2|27:PlayTop:root_005:-|28:PlayBottom:root_004:-|29:SkipPhase:-:-|30:SkipPhase:-:-"
47,Clean,6,20,20,23,0,0,6,0,11,0,44,"SEED:47|0:PlayTop:root_006:-|1:SelectTarget:-:M1|2:PlayTop:root_005:-|3:PlayBottom:root_025:-|4:SelectTarget:-:A2|5:PlayTop:root_004:-|6:PlayTop:root_003:-|7:PlayBottom:root_008:-|8:Rest:-:A1|9:PlayTop:root_025:-|10:SelectTarget:-:A3|11:PlayTop:root_007:-|12:PlayBottom:root_009:-|13:SelectTarget:-:A2|14:PlayTop:root_001:-|15:SelectTarget:-:A1|16:PlayTop:root_004:-|17:PlayBottom:root_002:-|18:SelectTarget:-:A2|19:Rest:-:A1|20:PlayTop:root_005:-|21:PlayTop:root_004:-|22:PlayBottom:root_006:-|23:SelectTarget:-:A3|24:PlayTop:root_008:-|25:PlayTop:root_003:-|26:PlayBottom:root_009:-|27:SelectTarget:-:A1|28:PlayTop:root_025:-|29:PlayTop:root_001:-|30:SkipPhase:-:-|31:PlayTop:root_007:-|32:PlayTop:root_002:-|33:SkipPhase:-:-"
48,Clean,6,20,20,23,0,0,6,0,9,0,36,"SEED:48|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_006:-|3:SelectTarget:-:A1|4:PlayBottom:root_025:-|5:SelectTarget:-:A1|6:PlayTop:root_004:-|7:PlayTop:root_003:-|8:PlayBottom:root_002:-|9:SelectTarget:-:M2|10:Rest:-:A1|11:PlayTop:root_005:-|12:PlayTop:root_007:-|13:PlayBottom:root_009:-|14:SelectTarget:-:A2|15:PlayTop:root_001:-|16:SelectTarget:-:A3|17:PlayTop:root_004:-|18:PlayBottom:root_008:-|19:Rest:-:A1|20:PlayTop:root_025:-|21:SelectTarget:-:A1|22:PlayTop:root_002:-|23:SelectTarget:-:A2|24:PlayBottom:root_009:-|25:SelectTarget:-:A1|26:PlayTop:root_004:-|27:PlayTop:root_005:-|28:PlayBottom:root_006:-|29:SelectTarget:-:A3|30:PlayTop:root_003:-|31:PlayTop:root_001:-|32:SkipPhase:-:-|33:PlayTop:root_007:-|34:SkipPhase:-:-"
49,Clean,6,20,20,23,0,0,0,0,13,0,39,"SEED:49|0:PlayTop:root_002:-|1:SelectTarget:-:M1|2:PlayTop:root_009:-|3:SelectTarget:-:A1|4:PlayBottom:root_004:-|5:PlayTop:root_025:-|6:SelectTarget:-:A1|7:PlayTop:root_001:-|8:SelectTarget:-:A1|9:PlayBottom:root_006:-|10:SelectTarget:-:A3|11:Rest:-:A3|12:PlayTop:root_005:-|13:PlayTop:root_008:-|14:PlayBottom:root_009:-|15:SelectTarget:-:I1|16:PlayTop:root_025:-|17:SelectTarget:-:A1|18:PlayTop:root_007:-|19:PlayBottom:root_002:-|20:SelectTarget:-:A2|21:Rest:-:A1|22:PlayTop:root_004:-|23:PlayTop:root_005:-|24:PlayBottom:root_006:-|25:SelectTarget:-:M1|26:PlayTop:root_003:-|27:PlayTop:root_001:-|28:SelectTarget:-:A1|29:PlayBottom:root_007:-|30:PlayTop:root_025:-|31:SkipPhase:-:-|32:SkipPhase:-:-"
50,Weathered,6,20,20,22,2,0,6,0,11,0,43,"SEED:50|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_006:-|3:SelectTarget:-:A1|4:PlayBottom:root_005:-|5:SelectTarget:-:A1|6:PlayTop:root_025:-|7:SelectTarget:-:A2|8:PlayTop:root_004:-|9:PlayBottom:root_002:-|10:SelectTarget:-:M2|11:Rest:-:A1|12:PlayTop:root_007:-|13:PlayTop:root_008:-|14:PlayBottom:root_006:-|15:SelectTarget:-:A2|16:PlayTop:root_025:-|17:SelectTarget:-:A1|18:PlayTop:root_004:-|19:PlayBottom:root_002:-|20:SelectTarget:-:A3|21:Rest:-:A1|22:PlayTop:root_005:-|23:PlayTop:root_004:-|24:PlayBottom:root_009:-|25:SelectTarget:-:M1|26:PlayTop:root_001:-|27:SelectTarget:-:A1|28:PlayTop:root_003:-|29:PlayBottom:root_008:-|30:PlayTop:root_025:-|31:PlayTop:root_002:-|32:SkipPhase:-:-|33:PlayTop:root_006:-|34:PlayTop:root_007:-|35:SkipPhase:-:-"
51,Clean,6,17,20,23,0,2,0,0,11,0,49,"SEED:51|0:PlayTop:root_009:-|1:SelectTarget:-:M1|2:PlayTop:root_002:-|3:SelectTarget:-:A1|4:PlayBottom:root_025:-|5:SelectTarget:-:A1|6:PlayTop:root_004:-|7:PlayTop:root_005:-|8:PlayBottom:root_008:-|9:Rest:-:A1|10:PlayTop:root_001:-|11:SelectTarget:-:A1|12:PlayTop:root_007:-|13:PlayBottom:root_006:-|14:SelectTarget:-:A2|15:PlayTop:root_004:-|16:PlayTop:root_003:-|17:PlayBottom:root_009:-|18:SelectTarget:-:A1|19:Rest:-:A1|20:PlayTop:root_025:-|21:SelectTarget:-:A2|22:PlayTop:root_004:-|23:PlayBottom:root_002:-|24:SelectTarget:-:A3|25:PlayTop:root_008:-|26:PlayTop:root_005:-|27:PlayBottom:root_001:-|28:SelectTarget:-:A1|29:PlayTop:root_003:-|30:PlayTop:root_007:-|31:SkipPhase:-:-|32:PlayTop:root_006:-|33:PlayTop:root_009:-|34:SkipPhase:-:-"
