seed,tide,weave,alive_invaders,total_presence,total_corruption,fear_generated_this_tide,invaders_killed_this_tide,invaders_arrived_this_tide
42,1,20,3,3,0,0,0,3
42,2,20,7,3,0,11,0,4
42,3,20,10,8,20,8,1,7
42,4,16,12,10,0,4,2,4
42,5,17,12,10,0,12,4,8
42,6,12,14,12,0,4,2,4
43,1,20,3,3,0,0,0,3
43,2,20,6,5,0,11,1,4
43,3,20,10,8,0,9,0,9
43,4,13,10,8,0,13,4,4
43,5,13,11,10,0,10,3,5
43,6,14,8,11,0,6,7,4
44,1,20,3,2,0,0,0,3
44,2,20,5,4,0,6,2,4
44,3,20,6,9,0,7,3,6
44,4,18,9,11,0,6,1,4
44,5,19,10,11,0,4,3,5
44,6,20,8,12,0,6,6,5
45,1,20,3,2,0,0,0,3
45,2,20,7,3,0,13,0,4
45,3,20,9,8,14,7,2,4
45,4,20,10,11,0,4,3,4
45,5,20,12,11,0,6,2,6
45,6,20,8,12,0,13,8,4
46,1,20,3,3,0,0,0,3
46,2,20,6,5,0,7,1,4
46,3,20,8,8,0,8,2,8
46,4,20,6,8,0,4,6,4
46,5,20,9,9,0,7,1,5
46,6,20,6,9,0,6,7,4
47,1,20,3,2,0,2,0,3
47,2,20,7,4,0,9,0,4
47,3,20,10,8,18,7,1,4
47,4,20,8,8,9,10,6,6
47,5,20,9,9,0,9,3,5
47,6,20,9,11,0,7,4,4
48,1,20,3,3,0,0,0,3
48,2,20,5,5,0,7,2,4
48,3,20,9,8,15,6,0,5
48,4,20,8,8,6,4,5,4
48,5,20,7,9,0,7,5,5
48,6,20,9,11,0,9,2,6
49,1,20,3,3,0,0,0,3
49,2,20,7,4,0,13,0,4
49,3,20,11,9,0,6,0,11
49,4,20,8,10,0,4,7,4
49,5,20,10,11,0,12,2,5
49,6,20,9,12,0,4,5,6
50,1,20,3,3,0,0,0,3
50,2,20,6,5,0,9,1,4
50,3,20,8,9,13,8,2,7
50,4,15,11,11,0,7,1,4
50,5,15,10,11,0,11,5,7
50,6,15,8,11,0,7,6,4
51,1,20,3,3,0,0,0,3
51,2,20,5,5,0,7,2,4
51,3,20,7,8,0,11,2,6
51,4,18,9,10,0,10,2,4
51,5,18,5,10,0,10,8,4
51,6,18,9,11,0,4,0,4
52,1,20,3,2,0,2,0,3
52,2,20,6,4,0,4,1,4
52,3,20,10,10,0,9,0,10
52,4,3,13,11,0,7,1,5
52,5,3,8,11,0,6,9,6
52,6,6,9,12,0,4,3,4
53,1,20,3,1,0,5,0,3
53,2,20,7,3,0,3,0,4
53,3,20,11,6,19,6,0,5
53,4,20,7,11,4,7,8,4
53,5,20,8,13,0,7,3,5
53,6,20,10,13,0,6,2,5
54,1,20,3,2,0,2,0,3
54,2,20,7,4,0,7,0,4
54,3,20,5,8,0,4,6,5
54,4,20,8,9,0,9,1,4
54,5,20,8,9,0,7,4,4
54,6,20,7,11,0,9,5,4
55,1,20,3,3,0,0,0,3
55,2,20,5,5,0,9,2,4
55,3,20,9,9,15,6,0,5
55,4,20,9,9,1,4,4,7
55,5,20,9,9,0,10,4,5
55,6,20,9,12,0,9,4,4
56,1,20,3,2,0,0,0,3
56,2,20,6,4,0,7,1,4
56,3,20,10,10,17,6,0,5
56,4,20,9,11,5,4,5,7
56,5,18,10,11,0,9,3,5
56,6,19,9,11,0,4,5,4
57,1,20,3,3,0,0,0,3
57,2,20,5,5,0,6,2,4
57,3,20,8,8,0,7,1,8
57,4,20,8,8,0,4,4,4
57,5,20,8,8,0,6,4,4
57,6,20,9,10,0,7,3,4
58,1,20,3,2,0,0,0,3
58,2,20,7,4,0,9,0,4
58,3,20,10,8,22,10,1,7
58,4,16,12,10,0,9,2,4
58,5,16,12,10,0,12,4,9
58,6,17,11,11,0,7,5,4
