seed,result,tides_completed,final_weave,max_weave,invaders_killed,natives_killed,heart_damage_events,peak_corruption,total_corruption_at_end,total_presence_at_end,sacrifices,total_fear_generated,export_string
100,Weathered,6,20,20,23,0,0,7,32,5,0,33,"SEED:100|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_006:-|3:SelectTarget:-:A1|4:PlayBottom:ember_008:-|5:SelectTarget:-:A2|6:Rest:-:-|7:PlayTop:ember_003:-|8:PlayTop:ember_001:-|9:SelectTarget:-:A3|10:PlayBottom:ember_004:-|11:Rest:-:-|12:PlayTop:ember_003:-|13:PlayTop:ember_005:-|14:SelectTarget:-:A1|15:PlayBottom:ember_006:-|16:SelectTarget:-:M2|17:Rest:-:-|18:PlayTop:ember_007:-|19:PlayTop:ember_003:-|20:Rest:-:-|21:PlayTop:ember_007:-|22:Rest:-:-|23:SkipPhase:-:-|24:SkipPhase:-:-"
101,Clean,6,20,20,23,0,0,6,21,4,0,28,"SEED:101|0:PlayTop:ember_004:-|1:PlayTop:ember_008:-|2:PlayBottom:ember_003:-|3:Rest:-:-|4:PlayTop:ember_006:-|5:SelectTarget:-:M1|6:PlayTop:ember_002:-|7:SelectTarget:-:A1|8:PlayBottom:ember_001:-|9:SelectTarget:-:A1|10:Rest:-:-|11:PlayTop:ember_004:-|12:PlayTop:ember_007:-|13:PlayBottom:ember_002:-|14:SelectTarget:-:A2|15:Rest:-:-|16:PlayTop:ember_005:-|17:SelectTarget:-:A1|18:PlayTop:ember_007:-|19:Rest:-:-|20:PlayTop:ember_007:-|21:Rest:-:-|22:SkipPhase:-:-|23:SkipPhase:-:-"
102,Weathered,6,20,20,23,0,0,6,24,4,0,16,"SEED:102|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_002:-|3:SelectTarget:-:A1|4:PlayBottom:ember_001:-|5:SelectTarget:-:A1|6:Rest:-:-|7:PlayTop:ember_008:-|8:SelectTarget:-:A3|9:PlayTop:ember_004:-|10:PlayBottom:ember_003:-|11:Rest:-:-|12:PlayTop:ember_008:-|13:SelectTarget:-:A1|14:PlayTop:ember_005:-|15:SelectTarget:-:A1|16:PlayBottom:ember_002:-|17:SelectTarget:-:M2|18:Rest:-:-|19:PlayTop:ember_007:-|20:PlayTop:ember_005:-|21:SelectTarget:-:A3|22:Rest:-:-|23:PlayTop:ember_005:-|24:SelectTarget:-:M1|25:Rest:-:-|26:SkipPhase:-:-|27:SkipPhase:-:-"
103,Weathered,6,20,20,23,0,0,6,23,4,0,24,"SEED:103|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_005:-|3:SelectTarget:-:A1|4:PlayBottom:ember_001:-|5:SelectTarget:-:A1|6:Rest:-:-|7:PlayTop:ember_002:-|8:SelectTarget:-:A2|9:PlayTop:ember_008:-|10:SelectTarget:-:A3|11:PlayBottom:ember_003:-|12:Rest:-:-|13:PlayTop:ember_004:-|14:PlayTop:ember_007:-|15:PlayBottom:ember_002:-|16:SelectTarget:-:A3|17:Rest:-:-|18:PlayTop:ember_004:-|19:PlayTop:ember_005:-|20:SelectTarget:-:A2|21:Rest:-:-|22:PlayTop:ember_004:-|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
104,Weathered,6,20,20,22,0,0,6,20,5,0,24,"SEED:104|0:PlayTop:ember_004:-|1:PlayTop:ember_001:-|2:PlayBottom:ember_003:-|3:Rest:-:-|4:PlayTop:ember_002:-|5:SelectTarget:-:M1|6:PlayTop:ember_006:-|7:SelectTarget:-:A1|8:PlayBottom:ember_008:-|9:SelectTarget:-:A3|10:Rest:-:-|11:PlayTop:ember_001:-|12:SelectTarget:-:A2|13:PlayTop:ember_007:-|14:PlayBottom:ember_006:-|15:SelectTarget:-:M2|16:Rest:-:-|17:PlayTop:ember_001:-|18:SelectTarget:-:A2|19:PlayTop:ember_005:-|20:SelectTarget:-:A1|21:Rest:-:-|22:PlayTop:ember_005:-|23:SelectTarget:-:I1|24:Rest:-:-|25:SkipPhase:-:-|26:SkipPhase:-:-"
105,Weathered,6,20,20,23,0,0,7,27,5,0,25,"SEED:105|0:PlayTop:ember_005:-|1:SelectTarget:-:A1|2:PlayTop:ember_008:-|3:PlayBottom:ember_001:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_006:-|7:SelectTarget:-:M1|8:PlayTop:ember_002:-|9:SelectTarget:-:A2|10:PlayBottom:ember_003:-|11:Rest:-:-|12:PlayTop:ember_004:-|13:PlayTop:ember_007:-|14:PlayBottom:ember_008:-|15:SelectTarget:-:A1|16:Rest:-:-|17:PlayTop:ember_004:-|18:PlayTop:ember_002:-|19:SelectTarget:-:M2|20:Rest:-:-|21:PlayTop:ember_002:-|22:SelectTarget:-:A3|23:Rest:-:-|24:SkipPhase:-:-|25:SkipPhase:-:-"
106,Weathered,6,20,20,22,2,0,6,29,3,0,40,"SEED:106|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_001:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A1|5:Rest:-:-|6:PlayTop:ember_002:-|7:SelectTarget:-:A2|8:PlayTop:ember_003:-|9:PlayBottom:ember_004:-|10:Rest:-:-|11:PlayTop:ember_001:-|12:SelectTarget:-:A1|13:PlayTop:ember_003:-|14:PlayBottom:ember_007:-|15:Rest:-:-|16:PlayTop:ember_005:-|17:SelectTarget:-:A2|18:PlayTop:ember_001:-|19:Rest:-:-|20:PlayTop:ember_001:-|21:SelectTarget:-:A3|22:Rest:-:-|23:SkipPhase:-:-|24:SkipPhase:-:-"
107,Clean,6,20,20,23,0,0,6,23,5,0,31,"SEED:107|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_002:-|3:SelectTarget:-:A1|4:PlayBottom:ember_003:-|5:Rest:-:-|6:PlayTop:ember_001:-|7:SelectTarget:-:A1|8:PlayTop:ember_008:-|9:SelectTarget:-:A2|10:PlayBottom:ember_004:-|11:Rest:-:-|12:PlayTop:ember_008:-|13:SelectTarget:-:A3|14:PlayTop:ember_007:-|15:PlayBottom:ember_006:-|16:SelectTarget:-:M2|17:Rest:-:-|18:PlayTop:ember_008:-|19:SelectTarget:-:A2|20:PlayTop:ember_005:-|21:SelectTarget:-:A1|22:Rest:-:-|23:PlayTop:ember_008:-|24:SelectTarget:-:A3|25:Rest:-:-|26:SkipPhase:-:-|27:SkipPhase:-:-"
108,Clean,6,20,20,23,0,0,6,26,6,0,9,"SEED:108|0:PlayTop:ember_002:-|1:SelectTarget:-:M1|2:PlayTop:ember_004:-|3:PlayBottom:ember_008:-|4:SelectTarget:-:A2|5:Rest:-:-|6:PlayTop:ember_006:-|7:SelectTarget:-:A1|8:PlayTop:ember_003:-|9:PlayBottom:ember_001:-|10:SelectTarget:-:A2|11:Rest:-:-|12:PlayTop:ember_007:-|13:PlayTop:ember_005:-|14:SelectTarget:-:A1|15:PlayBottom:ember_002:-|16:SelectTarget:-:M2|17:Rest:-:-|18:PlayTop:ember_006:-|19:SelectTarget:-:A3|20:PlayTop:ember_005:-|21:SelectTarget:-:M1|22:Rest:-:-|23:PlayTop:ember_006:-|24:SelectTarget:-:A2|25:Rest:-:-|26:SkipPhase:-:-|27:SkipPhase:-:-"
109,Clean,6,20,20,23,0,0,6,24,5,0,28,"SEED:109|0:PlayTop:ember_006:-|1:SelectTarget:-:M1|2:PlayTop:ember_002:-|3:SelectTarget:-:A1|4:PlayBottom:ember_008:-|5:SelectTarget:-:A1|6:Rest:-:-|7:PlayTop:ember_003:-|8:PlayTop:ember_001:-|9:SelectTarget:-:A3|10:PlayBottom:ember_004:-|11:Rest:-:-|12:PlayTop:ember_003:-|13:PlayTop:ember_007:-|14:PlayBottom:ember_006:-|15:SelectTarget:-:A2|16:Rest:-:-|17:PlayTop:ember_005:-|18:SelectTarget:-:A1|19:PlayTop:ember_007:-|20:Rest:-:-|21:PlayTop:ember_007:-|22:Rest:-:-|23:SkipPhase:-:-|24:SkipPhase:-:-"
