seed,tide,weave,alive_invaders,total_presence,total_corruption,fear_generated_this_tide,invaders_killed_this_tide,invaders_arrived_this_tide
100,1,20,3,3,3,0,0,3
100,2,20,4,3,7,0,3,4
100,3,20,6,3,17,14,2,4
100,4,20,4,5,22,6,6,4
100,5,20,4,5,27,9,4,4
100,6,20,5,5,32,4,3,4
101,1,20,3,1,1,3,0,3
101,2,20,6,3,4,7,1,4
101,3,20,4,3,9,5,6,4
101,4,20,4,4,11,3,4,4
101,5,20,4,4,16,5,4,4
101,6,20,5,4,21,5,3,4
102,1,20,3,3,3,0,0,3
102,2,20,4,3,7,3,3,4
102,3,20,5,3,13,7,3,4
102,4,20,4,4,17,2,5,4
102,5,20,4,4,19,2,4,4
102,6,20,5,4,24,2,3,4
103,1,20,3,2,2,0,0,3
103,2,20,5,3,7,0,2,4
103,3,20,4,3,11,6,5,4
103,4,20,4,4,13,6,4,4
103,5,20,4,4,18,9,4,4
103,6,20,5,4,23,3,3,4
104,1,20,3,1,1,3,0,3
104,2,20,7,3,4,3,0,4
104,3,20,4,3,10,8,7,4
104,4,20,4,5,13,4,4,4
104,5,20,4,5,15,4,4,4
104,6,20,6,5,20,2,2,4
105,1,20,3,1,1,0,0,3
105,2,20,4,3,6,0,3,4
105,3,20,4,3,10,6,4,4
105,4,20,4,4,15,11,4,4
105,5,20,4,5,21,6,4,4
105,6,20,5,5,27,2,3,4
106,1,20,3,2,2,0,0,3
106,2,20,5,3,7,0,2,4
106,3,20,6,3,20,16,3,5
106,4,20,4,3,21,14,6,4
106,5,20,4,3,25,5,4,4
106,6,20,6,3,29,5,2,4
107,1,20,3,3,3,0,0,3
107,2,20,5,3,7,3,2,4
107,3,20,5,3,11,14,4,5
107,4,20,4,5,13,4,5,4
107,5,20,4,5,18,6,4,4
107,6,20,6,5,23,4,2,4
108,1,20,3,2,2,3,0,3
108,2,20,5,3,5,2,2,4
108,3,20,4,3,9,0,5,4
108,4,20,4,5,12,0,4,4
108,5,20,4,6,19,2,4,4
108,6,20,4,6,26,2,4,4
109,1,20,3,3,3,0,0,3
109,2,20,4,3,7,0,3,4
109,3,20,6,3,12,14,2,6
109,4,20,4,5,14,4,6,4
109,5,20,4,5,19,6,4,4
109,6,20,4,5,24,4,4,4
110,1,20,3,3,3,0,0,3
110,2,20,5,3,7,0,2,4
110,3,20,6,3,20,14,3,4
110,4,20,4,4,22,8,6,4
110,5,20,4,4,24,5,4,4
110,6,20,5,4,29,8,3,4
111,1,20,3,3,3,0,0,3
111,2,20,5,3,7,3,2,4
111,3,20,5,3,11,14,4,5
111,4,20,4,4,13,7,5,4
111,5,20,4,4,15,7,4,4
111,6,20,5,4,20,8,3,4
112,1,20,3,2,2,3,0,3
112,2,20,5,3,5,0,2,4
112,3,20,4,3,8,2,5,4
112,4,20,4,5,11,0,4,4
112,5,20,4,5,14,0,4,4
112,6,20,5,5,20,2,3,4
113,1,20,3,1,1,3,0,3
113,2,20,5,3,4,0,2,4
113,3,20,4,3,7,0,5,4
113,4,20,4,4,12,0,4,4
113,5,20,4,4,17,0,4,4
113,6,20,5,4,22,0,3,4
114,1,20,3,3,3,0,0,3
114,2,20,5,3,7,3,2,4
114,3,20,7,3,18,20,2,6
114,4,20,4,4,21,9,7,4
114,5,20,4,4,23,2,4,4
114,6,20,5,4,28,2,3,4
115,1,20,3,2,2,3,0,3
115,2,20,5,3,6,0,2,4
115,3,20,5,3,11,18,4,5
115,4,20,4,3,12,9,5,4
115,5,20,4,3,13,4,4,4
115,6,20,5,3,17,2,3,4
116,1,20,3,3,3,0,0,3
116,2,20,4,3,7,3,3,4
116,3,20,6,3,16,17,2,5
116,4,20,4,5,19,6,6,4
116,5,20,4,5,21,6,4,4
116,6,20,5,5,26,4,3,4
117,1,20,3,2,2,3,0,3
117,2,20,5,3,5,5,2,4
117,3,20,4,3,8,6,5,4
117,4,20,4,4,10,0,4,4
117,5,20,4,5,16,0,4,4
117,6,20,5,5,22,2,3,4
118,1,20,3,3,3,0,0,3
118,2,20,5,3,7,3,2,4
118,3,20,6,3,17,17,3,4
118,4,20,4,4,17,6,6,4
118,5,20,4,4,22,2,4,4
118,6,20,6,4,27,2,2,4
119,1,20,3,2,2,3,0,3
119,2,20,4,3,6,2,3,4
119,3,20,4,3,9,9,4,4
119,4,20,4,6,12,4,4,4
119,5,20,4,7,19,6,4,4
119,6,20,4,7,26,2,4,4
120,1,20,3,2,2,3,0,3
120,2,20,4,3,6,0,3,4
120,3,20,4,3,11,11,4,4
120,4,20,4,4,13,2,4,4
120,5,20,4,4,15,0,4,4
120,6,20,4,4,20,2,4,4
