seed,tide,weave,alive_invaders,total_presence,total_corruption,fear_generated_this_tide,invaders_killed_this_tide,invaders_arrived_this_tide
42,1,20,3,3,0,0,0,3
42,2,20,7,3,0,11,0,4
42,3,20,10,8,20,8,1,7
42,4,16,12,10,0,4,2,4
42,5,17,12,10,0,12,4,8
42,6,12,14,12,0,4,2,4
43,1,20,3,3,0,0,0,3
43,2,20,6,5,0,11,1,4
43,3,20,10,8,0,9,0,9
43,4,13,10,8,0,13,4,4
43,5,13,11,10,0,10,3,5
43,6,14,8,11,0,6,7,4
44,1,20,3,2,0,0,0,3
44,2,20,5,4,0,6,2,4
44,3,20,6,9,0,7,3,6
44,4,18,9,11,0,6,1,4
44,5,19,10,11,0,4,3,5
44,6,20,8,12,0,6,6,5
